,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.174119234085083,0.04693847870238529,0.0010001182556152344,0.000894629028820948,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 2}",0.10267126356838147,0.10235603643214199,0.08173908948260449,0.09053578118178311,0.11610100269771863,0.09865211337367667,0.011692913822091517,531,0.09780971684080626,0.09786885033728698,0.10270492685041134,0.1018253274797667,0.097990342207024,0.09963983274305906,0.0021623002130511174
1,0.15047097206115723,0.015851952804854227,0.0022001266479492188,0.001600176121883379,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 3}",0.07983942797190029,0.09533568683785297,0.08706359741225553,0.07814066132608681,0.09483046297528666,0.08703150329776499,0.007216842148159743,728,0.09144361291754924,0.08398995497016576,0.08764872099664582,0.08824565855094807,0.08669325372833359,0.08760424023272849,0.0024102752116976927
2,0.143288516998291,0.00849589125317032,0.0015999794006347657,0.0014968348849652066,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 4}",0.16711445277329212,0.0936244086290428,0.08374172160077431,0.08045890498113317,0.09871240668624175,0.10480362110485636,0.031943270804952836,486,0.08825100554578662,0.09227030072302182,0.09557490456945267,0.11679681832706487,0.11626386124064547,0.10183137808119429,0.012224934774084503
3,0.2021998405456543,0.03639930107755582,0.0011999130249023438,0.001599943643843316,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 5}",0.12289678798253872,0.11024569084638303,0.10266866182497507,0.08843557445456043,0.09416637709863286,0.10373705741634862,0.012141626803287854,496,0.10022593753358972,0.09944363104865532,0.11232353741652512,0.10477537306564398,0.10857433883806987,0.10506856358049681,0.004901060277409741
4,0.30358209609985354,0.04918735552287972,0.00299983024597168,0.003794546113309764,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 6}",0.15098172097293597,0.1431081755402616,0.18501473290262235,0.10700924261816196,0.12372225414506964,0.1420453538288709,0.0264108206602392,182,0.1492841679518845,0.14565359173561881,0.15653648282781793,0.1677500191623703,0.14653995533714764,0.15315284340296786,0.00823968773431865
5,0.15761113166809082,0.012508112929774216,0.00039997100830078123,0.0007999420166015623,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 7}",0.08926695918186349,0.09900483106911814,0.10561150734868656,0.10531284605720731,0.0937930238151036,0.09859687538777395,0.006400221193775443,532,0.10083025178885234,0.10485120796810846,0.10028820892381665,0.11710749888185093,0.11154223682249445,0.10692388087702456,0.00648838528494485
6,0.20794663429260254,0.026414195322866617,0.002999401092529297,0.0012644049661985003,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 8}",0.1006307995950392,0.10982364551330295,0.127303592848296,0.13642482134929057,0.12649739096970408,0.12008504031409387,0.01300510796068846,333,0.11891435274255416,0.11316433936859001,0.11811609556481718,0.11620471015149716,0.13249224261315787,0.11977834808812327,0.006658358429016307
7,0.12750773429870604,0.11306665663415036,0.003000307083129883,0.001264630905356861,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 9}",0.17569589009918504,0.13593895499832973,0.14015081591727732,0.12172692589464248,0.12127723263714335,0.1390393349180089,0.019865871368749927,194,0.1684902345895002,0.12359375848629578,0.12983365167467018,0.12335069736228552,0.1343894720958948,0.1359315628417293,0.01679362535591194
8,0.2671764850616455,0.028943973132971305,0.0006003379821777344,0.0008001925812086929,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 10}",0.1685918767405026,0.18286718189995163,0.2019240977620606,0.17927539489820948,0.1558727528958976,0.1777531919244051,0.015310309277844367,6,0.17374773809274074,0.1783150259074182,0.17783648833139892,0.18472374037946757,0.18548145960110748,0.18002089046242659,0.0044490142697881695
9,0.12946634292602538,0.014067005565764424,0.0016000747680664062,0.0019596833892375613,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 11}",0.11303661339354941,0.08783695746164144,0.08047344827946248,0.09097452288168051,0.09572205057922649,0.0936165043823938,0.010928445756718135,609,0.08847196749644244,0.09438630214618463,0.09673837524727577,0.0891597479011946,0.09225770654631756,0.09220281986748301,0.0031151698643442855
10,0.14297680854797362,0.030603735865479625,0.0015996456146240234,0.0019591577640055294,0.1,"(20,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'rp__n_components': 2}",0.08171068228741073,0.10002938698222764,0.08967110731517272,0.10019186769349563,0.08797141649021008,0.09191603748735978,0.007206728395946615,639,0.09867294815857872,0.09239937932591387,0.08862786779370922,0.1001362359980783,0.10205898066837331,0.0963790823889307,0.005050913423286304
