,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.22962307929992676,0.025511390766704757,0.0021999835968017577,0.0015998960009865378,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 2}",0.8957076003040487,0.9191407221254565,0.619119794067927,0.7295749995024807,0.7210809674509684,0.7772472118282603,0.11369984111026604,768,0.8689279977732859,0.889114477154959,0.6266105983100217,0.8127632473604782,0.7929666239668973,0.7980765889131284,0.0926824846932868
1,0.09205212593078613,0.051795881326904505,0.001799297332763672,0.0007478695717166371,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 3}",0.7957295644393872,0.828571428571429,0.8139782437806601,0.7606287232097387,0.8474506248464414,0.8092651086558994,0.029643608304654418,711,0.889438441993658,0.9043861547558715,0.7317613186175482,0.7451289956480965,0.8647676891496452,0.827096520032964,0.07360271127434512
2,0.03699784278869629,0.0017888313569291853,0.0017998218536376953,0.0003998279713702896,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 4}",0.39225422045680186,0.3333333333333332,0.3333333333333338,0.4522019334049413,0.4522019334049413,0.3926138870531278,0.05312042986665276,921,0.39469599838045627,0.40915172598340677,0.4081300813008062,0.3792601416186815,0.3792601416186815,0.3940996177804065,0.013146829604745166
3,0.23801774978637696,0.019730796710421234,0.0010000228881835937,0.0015492657330857828,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 5}",0.9238031174614956,0.9816451965984677,0.8883528596933343,0.9908249158249157,0.7524343237763007,0.9075029274786353,0.08608063876030776,322,0.9094083910352856,0.8947767464030121,0.9194902059802006,0.9077146226248411,0.9488008011249823,0.9160381534336643,0.01816915019497019
4,0.17339811325073243,0.019490777192684636,0.00020003318786621094,0.0004000663757324219,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 6}",0.9954336947456213,0.9954127475117313,0.9545250766080935,0.9977064099529183,0.9839408146405888,0.9854292740660925,0.016159909526150026,25,0.9841526766808568,0.9870262163918079,0.994845223860768,0.9836932732786141,0.9791105276590806,0.9857655835742255,0.005200284043693192
5,0.11759257316589355,0.020014417106577895,0.0023998260498046876,0.001959449834110549,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 7}",0.7291163709126103,0.5348733722091817,0.7295749995024807,0.7189603013606273,0.8318062010791962,0.7087529275926121,0.09627303929363136,834,0.6753979149906963,0.7239391213813632,0.7078684805202828,0.7267586226531527,0.6971291757890348,0.7062186630669061,0.018821072080305597
6,0.10879464149475097,0.05112057319370817,0.0031989574432373046,0.0015994792147182506,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 8}",0.8285714285714284,0.8875000000000002,0.3904659392640529,0.3323124042879025,0.3333333333333338,0.555184781527565,0.24960240462898733,881,0.882478177560145,0.8900047824007647,0.33129069322098137,0.34792720470716476,0.34629406253876766,0.5595989840855647,0.2667761505674413
7,0.13199162483215332,0.02116393572244561,0.004000282287597657,0.002529412757172917,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 9}",0.9653577338220423,0.9931189402747164,0.9931189402747161,0.9295505938998708,0.9839408146405888,0.9730214641699688,0.023959919000247146,33,0.9572431150417262,0.9841625292591992,0.9771224785264246,0.9776950819681204,0.9633947806813083,0.9719235970953559,0.009983858262550502
8,0.09279437065124511,0.007331418058044737,0.0023999691009521486,0.0019595666058710402,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 10}",0.9607962013372371,1.0,0.9682713241695504,1.0,0.8761830904112621,0.9610827564884687,0.04531896154041506,54,0.9236628440900957,0.9687012385320856,0.9714052287581699,0.9779891169038902,0.9768442195333517,0.9637205295635185,0.020318976608794177
9,0.13980598449707032,0.03611834244886462,0.0020000457763671873,0.0017889913398403223,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 11}",0.9722007722007721,0.8583792289535801,0.32819722650231176,0.8156428753824569,0.596837944664032,0.7148119032118811,0.22821171171710836,826,0.8590966692983112,0.8819134932590426,0.32846153846153175,0.8916129032258051,0.7748586122074895,0.7471886432904361,0.21336849525653442
10,0.18986010551452637,0.031081640508384033,0.0018001556396484374,0.00040011444303175725,0.1,"(10,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'rp__n_components': 12}",0.939721515562041,0.9442724458204335,0.8474506248464414,0.9409722222222223,0.817857142857143,0.898164765733778,0.05420853944647733,396,0.896928480196713,0.8888734673466403,0.9203713895381499,0.8978563547572139,0.919802328802999,0.9047664041283433,0.012894664585625108
