k,Contraceptive BIC
2,-28969.90136898909
3,-32388.78695421784
4,-34789.6814789722
5,-37288.285387625976
6,-38511.180908394424
7,-39441.43934874273
8,-41848.91920067575
9,-42318.62231481987
10,-42292.177780452585
15,-43244.924854314195
20,-43222.4647418988
25,-42936.24308510977
30,-42251.18348712394
