k,Contraceptive log-likelihood
2,15.634877783165612
3,17.580426496070867
4,18.985640251187164
5,20.44271673661101
6,21.222665627615893
7,21.847286981242778
8,23.255996132950727
9,23.636161368634838
10,23.752978595554936
15,24.91295100706521
20,25.555297523523997
25,26.05764322025155
30,26.348291495961696
