k,Red Wine Quality log-likelihood
2,15.999854394165489
3,16.61858051067243
4,16.85750897218515
5,17.016569576744313
6,17.107961723850785
7,17.180951158332196
8,17.32915140314101
9,17.38615812884289
10,17.4578315627323
15,17.848039184834988
20,18.196811104978863
25,18.293521081149237
30,18.587336930969563
