k,Contraceptive sse (left)
2,4.819313962037574
3,4.099488039270868
4,3.5099973424811304
5,2.9130866854939086
6,2.613827023347624
7,2.374103612787639
8,2.2152546119373007
9,2.0551493544853643
10,1.9468267038009746
15,1.4013890414240393
20,1.1537362685290882
25,1.0070978069210939
30,0.871518101359563
