k,Red Wine Quality sse (left)
2,5.048416168249923
3,4.550667196487293
4,3.953228264947618
5,3.5763979292283743
6,3.2418608617859195
7,3.006371951564195
8,2.788192262919865
9,2.6405328530546295
10,2.537719545784704
15,2.1037605333761933
20,1.881212780001995
25,1.6718774638497313
30,1.523703940313411
