k,Red Wine Quality BIC
2,-32211.70669095004
3,-33226.920269342736
4,-33465.82744092725
5,-33541.48471289868
6,-33478.827657836824
7,-33378.55545816933
8,-33432.01415481106
9,-33299.07329839821
10,-33196.111193520665
15,-32746.38255436111
20,-32211.95934039773
25,-31162.321512952523
30,-30515.568091247806
