,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06442723274230958,0.023168945510835395,0.0015999794006347657,0.0014966436876668334,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 2}",0.33333333333333365,0.3333333333333343,0.33333333333333276,0.33333333333333276,0.33333333333333276,0.33333333333333326,6.345219517453643e-16,950,0.3333333333333358,0.333333333333336,0.3333333333333315,0.3333333333333315,0.3333333333333315,0.33333333333333326,2.1626563183607133e-15
1,0.04375019073486328,0.007605451865111111,0.0023994922637939455,0.001959177347340239,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 3}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
2,0.04399871826171875,0.0035780895893472815,0.0007998466491699219,0.0015996932983398436,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 4}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
3,0.04719719886779785,0.0029930836670728745,0.003199481964111328,0.003918549129556486,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 5}",0.33333333333333365,0.3333333333333343,0.33333333333333276,0.33333333333333276,0.33333333333333276,0.33333333333333326,6.345219517453643e-16,950,0.3333333333333358,0.333333333333336,0.3333333333333315,0.3333333333333315,0.3333333333333315,0.33333333333333326,2.1626563183607133e-15
4,0.05359659194946289,0.005986887045946103,0.001599884033203125,0.0019594498167046165,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 6}",0.33333333333333365,0.3333333333333343,0.33333333333333276,0.33333333333333276,0.33333333333333276,0.33333333333333326,6.345219517453643e-16,950,0.3333333333333358,0.333333333333336,0.3333333333333315,0.3333333333333315,0.3333333333333315,0.33333333333333326,2.1626563183607133e-15
5,0.047197389602661136,0.006880735231408453,0.0015996932983398438,0.001959216255783928,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 7}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
6,0.05439691543579102,0.00897973475843595,0.004799079895019531,0.00587794055506538,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 8}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
7,0.05039758682250976,0.006498624683572062,0.0055996417999267575,0.00542514033403762,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 9}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
8,0.055196094512939456,0.006881206305998764,0.0008001327514648438,0.0016002655029296875,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 10}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
9,0.05919671058654785,0.009927042461616162,0.0031999588012695313,0.0015999794503733966,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 11}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,245,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
10,0.10239372253417969,0.005426300397659882,0.0015999794006347657,0.0019595666174743037,0.1,"(10,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'ica__n_components': 12}",0.662978723404255,0.8063980137509553,0.8068015212375507,0.8694128092013061,0.3333333333333338,0.6958230812211365,0.1932554907849787,4,0.7105953648286273,0.8374323537957408,0.7178178559660516,0.8032486080625815,0.3490127367073184,0.683621383872064,0.17425752686534468
