,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.38597898483276366,0.011866126525490331,0.10722603797912597,0.0024142577461079783,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.32252936363220214,0.010399010730969044,0.10920662879943847,0.003494067069474562,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 3}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,969,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
2,0.3328549861907959,0.04384507723735296,0.10639433860778809,0.0019603454767837983,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 4}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,969,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
3,0.5794795513153076,0.03693902697558072,0.10559759140014649,0.003197150591397115,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 5}",0.9977168830762654,0.983940814640589,0.9931189402747161,1.0,0.9977064099529183,0.9944931161695653,0.005734554892030246,85,0.9988532095010013,0.9873977701021511,0.9942724352581803,0.9971362880848263,0.999427262125986,0.995417393014429,0.004392351657210143
4,0.5205923557281494,0.07667068957608081,0.1055933952331543,0.0019587879882386077,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 6}",0.9771570427236315,0.9047066205726347,0.8861289740094828,0.8206594912612417,0.8739253751259843,0.8926695535431824,0.05077608218329672,593,0.9399974602332883,0.9361272745777156,0.8106439212443562,0.8256145867024793,0.9424501944138598,0.8909666874343399,0.05969370258542326
5,0.38877644538879397,0.0408996927053249,0.10639290809631348,0.001957717513433366,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 7}",0.8852466991413985,0.9607438897001888,0.9476502600143003,0.9862359254972114,0.9747545729701276,0.9508230933013085,0.03537394381706178,306,0.9916065219184668,0.9641240982978088,0.949662206669346,0.9353500610625135,0.9342071701935164,0.9549900116283304,0.021308402226007172
6,0.45475473403930666,0.03949182126705766,0.10528559684753418,0.001547240894985825,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 8}",0.4432651208750801,0.828571428571429,0.9110723626852659,0.880701754385965,0.7153488372093025,0.7553230772887747,0.17017812456294296,811,0.5797094315597,0.7377012522361348,0.8692674828802636,0.9209405000256676,0.8767541815545523,0.7968745696512637,0.12464029850694958
7,0.4461777687072754,0.03828391881517845,0.10574908256530761,0.0018390456587082087,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 9}",0.9002323617774693,0.9653263467630414,0.9705627705627704,0.8997057585051066,0.8997057585051067,0.927093416941417,0.03338012026146683,443,0.9484294046003137,0.9759608264433394,0.9762717874039951,0.9662554285516741,0.9306885752358732,0.959521204447039,0.017609892141287786
8,0.41205196380615233,0.02575826311334757,0.10567049980163574,0.0020577077066543745,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 10}",0.911551700399284,0.9954127475117313,1.0,0.9705627705627704,0.9659801141951913,0.9686271131795585,0.031585205567119155,192,0.9388544445973424,0.9771056847452302,0.9928567784070615,0.9857113696672791,0.9822757733309456,0.9753608101495719,0.01895689329285801
9,0.4039748668670654,0.022483861821838588,0.10639376640319824,0.0019592941829206355,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 11}",0.7270109569574809,0.8583792289535801,0.8496905393457118,0.5486489543957778,0.746633094962545,0.7461355290130866,0.11188043787556629,826,0.7059032226010364,0.8813488816940964,0.814994196071439,0.6192375350910729,0.7493487751821308,0.7541665221279551,0.08992635521563655
10,0.4995257377624512,0.038068555025229676,0.10399322509765625,8.449575970968889e-07,0.1,"(10,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 12}",0.9653577338220423,0.9259933690849523,0.9659801141951913,0.9659801141951913,1.0,0.9646306211304011,0.023440749421197952,227,0.982637927263052,0.9749959937658531,0.9771224785264246,0.9716925788738415,0.9911386690384338,0.9795175294935211,0.006814663208617422
11,0.2990065097808838,0.005378724045787222,0.10914897918701172,0.005624640542254867,0.1,"(10,)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 13}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,969,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
