,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5730547428131103,0.09607410505426878,0.10699710845947266,0.0032961324795216206,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 2}",0.11265940590949247,0.10124128280429952,0.15104542427014903,0.1045258011272639,0.1342720813465138,0.12070815452325741,0.01903325865747994,660,0.12105816045409047,0.1080094300796594,0.1243015195710892,0.11623442652776483,0.11591899442165428,0.11710450621085164,0.005519262086039178
1,0.6593937397003173,0.2220899292383555,0.1061933994293213,0.0009792577371996666,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 3}",0.1288452458593693,0.13733519004703662,0.16011449703366254,0.15292303528139442,0.15170681194295088,0.14614622901947266,0.01140932821797138,353,0.14248120493062533,0.14414063924644652,0.16976287952155986,0.14751111513543666,0.15309873626669274,0.15139891502015224,0.00987367907996566
2,0.5863675594329834,0.055586650062889154,0.10653562545776367,0.0026888201317329836,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 4}",0.15658688178504804,0.13328879210573485,0.15616936866298808,0.0847298622572732,0.0557299639452678,0.11751424281800749,0.0403300117409673,678,0.1303867600887909,0.12628408382381565,0.17209782976408072,0.08708817561437232,0.05489915219298161,0.11415120029680823,0.040029550685753805
3,0.7916953086853027,0.024300520940247386,0.12397761344909668,0.036011039265358376,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 5}",0.1460194247110904,0.12222036627981048,0.16801265557929215,0.1316634709567025,0.12893936865574046,0.13939335796308433,0.016302167372872167,459,0.1394985081370753,0.1213503099048954,0.16764627493741327,0.12979533962000483,0.1424830449347822,0.14015469550683418,0.015636878875063813
4,0.7804502964019775,0.22193837116656479,0.10788030624389648,0.003414123881995231,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 6}",0.14099953575805566,0.18865953882118353,0.1753284879551686,0.16898820681803992,0.143401265058203,0.16352033480572237,0.018523191822791347,129,0.17741614267687933,0.17581154424462458,0.17275382683986223,0.1679486188920579,0.1605272504390394,0.1708914766184927,0.006104494686099922
5,0.5743442058563233,0.032119139096988165,0.11064176559448242,0.004285881620088833,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 7}",0.13390016057006587,0.19073282569214792,0.11983471102486927,0.14670612857808538,0.15222113423260691,0.14869356278561563,0.02386385369820567,323,0.13025622850402557,0.16891270413758527,0.12444287203652768,0.15256336911498614,0.17335434664397323,0.14990590408741958,0.019761709331963636
6,0.5717587471008301,0.10269115296685034,0.1059145450592041,0.0024101084670133405,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 8}",0.10395901885943055,0.1636663842868372,0.2352587774511299,0.20875152688761495,0.21955421052172583,0.18606011756996751,0.04760287137525397,4,0.12190307791464552,0.21202881249970948,0.17693770494194383,0.18473959074705368,0.18792949109849488,0.1767077354403695,0.029804765916992403
7,0.6621573448181153,0.1356711538478099,0.1083024024963379,0.002353710570448859,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 9}",0.16381989676592204,0.14912571466831714,0.1402889297524275,0.1512957947558369,0.16922958309969824,0.15472339619889122,0.010424921209155794,228,0.15744228636878096,0.15674951488501981,0.13412240026154787,0.1292089757622288,0.1798024643364007,0.15146512832279563,0.018236021032008474
8,0.5774253368377685,0.077826718346344,0.10688223838806152,0.0021546488300048894,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 10}",0.18734873333895158,0.18143895699312157,0.12396872989020649,0.09795134673663464,0.12367877969363235,0.14302250074144482,0.03527070306188993,397,0.17424765486455518,0.16136118417944056,0.13019730406716562,0.12897532136721843,0.12435563261917414,0.14382741941951077,0.020091485626799212
9,0.6379625797271729,0.05356587404983782,0.10535435676574707,0.0016271789038366017,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'filter__n': 11}",0.13533626031315613,0.17428180376377048,0.06851457586995247,0.16519769227207343,0.12579686345634541,0.13385257580149615,0.037325240898471154,538,0.14469492280008597,0.1424502720756705,0.09605822309816249,0.14450723979630656,0.14749797697432832,0.13504172694891076,0.01955780356623727
10,0.7147642135620117,0.1587395947017048,0.10618758201599121,0.0014656198871217901,0.1,"(20,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'filter__n': 2}",0.18009879193461203,0.09734257865570067,0.047000155030747906,0.1353235502516045,0.09987968172750493,0.11198085815399038,0.04426866078305452,734,0.16573469557349932,0.09224232693655535,0.048524303625497145,0.12462007843145415,0.11095304326440233,0.10841488956628167,0.03847868136357891
