k,r
0.0,-1.470108308032163
1.0,-1.266999453589556
2.0,-1.264423133284425
3.0,-1.2495164661320006
4.0,-1.2475447180540593
5.0,-1.2406208108139105
6.0,-1.233733967492175
7.0,-1.2305527488658157
8.0,-1.2303204077970582
9.0,-1.230119173653535
