k,r
0.0,-1.8960000000000006
100.0,-1.8688
200.0,-1.7744000000000002
300.0,-1.8783999999999998
400.0,-1.9920000000000004
500.0,-1.936
600.0,-2.033200000000001
700.0,-1.995200000000001
800.0,-2.023199999999999
900.0,-2.0248000000000017
1000.0,-1.9444000000000006
1100.0,-2.1848000000000014
1200.0,-1.991200000000001
1300.0,-2.1675999999999997
1400.0,-2.2408000000000006
1500.0,-2.2560000000000002
1600.0,-2.1952000000000003
1700.0,-2.2104000000000013
1800.0,-2.349600000000002
1900.0,-2.2712000000000008
2000.0,-2.4272
2100.0,-2.733200000000001
2200.0,-2.614799999999999
2300.0,-2.8240000000000016
2400.0,-2.9439999999999986
2500.0,-3.2596
2600.0,-3.5743999999999994
2700.0,-3.916400000000001
2800.0,-4.511999999999998
2900.0,-5.143999999999992
3000.0,-6.6579999999999755
3100.0,-7.581199999999967
3200.0,-10.107999999999945
3300.0,-11.2699999999999
3400.0,-14.719999999999855
3500.0,-17.2039999999998
3600.0,-20.8199999999998
3700.0,-23.179999999999673
3800.0,-28.245599999999794
3900.0,-34.81519999999996
4000.0,-33.46160000000005
4100.0,-32.25199999999977
4200.0,-45.51880000000008
4300.0,-41.66879999999998
4400.0,-41.486
4500.0,-46.55280000000012
4600.0,-41.90480000000038
4700.0,-42.35200000000045
4800.0,-47.8408000000004
4900.0,-37.0340000000001
5000.0,-41.74680000000076
5100.0,-49.54680000000082
5200.0,-47.41960000000054
5300.0,-59.83400000000032
5400.0,-50.46800000000023
5500.0,-57.85520000000017
5600.0,-51.455600000000324
5700.0,-57.835600000000234
5800.0,-64.60040000000073
5900.0,-63.031600000000445
6000.0,-61.8096000000009
6100.0,-53.696800000000664
6200.0,-59.33000000000007
6300.0,-67.37240000000003
6400.0,-52.786400000000405
6500.0,-54.75400000000016
6600.0,-66.28800000000096
6700.0,-58.32880000000022
6800.0,-63.89320000000092
6900.0,-54.314000000000505
7000.0,-50.38200000000027
7100.0,-56.47920000000068
7200.0,-55.447600000000655
7300.0,-55.240800000000355
7400.0,-62.83360000000055
7500.0,-56.350000000000634
7600.0,-58.41720000000092
7700.0,-63.002399999999916
7800.0,-60.130800000000384
7900.0,-85.4752000000011
8000.0,-53.76439999999998
8100.0,-54.865200000000584
8200.0,-63.934400000000906
8300.0,-73.29040000000012
8400.0,-86.12040000000182
8500.0,-64.06360000000079
8600.0,-72.91560000000116
8700.0,-61.44520000000002
8800.0,-74.88160000000047
8900.0,-80.59800000000111
9000.0,-55.31240000000052
9100.0,-72.10080000000069
9200.0,-60.450800000000044
9300.0,-56.00720000000093
9400.0,-70.80680000000072
9500.0,-56.301200000000925
9600.0,-69.16519999999997
9700.0,-67.00640000000004
9800.0,-66.89240000000095
9900.0,-65.78880000000055
