k,r
0.0,-1.824000000000001
100.0,-1.8208000000000004
200.0,-1.8320000000000005
300.0,-1.9432
400.0,-1.8932
500.0,-1.9048000000000005
600.0,-1.9624000000000004
700.0,-1.8836000000000002
800.0,-1.8627999999999991
900.0,-1.9220000000000008
1000.0,-1.9948
1100.0,-1.9384000000000003
1200.0,-1.9028000000000003
1300.0,-1.9292000000000007
1400.0,-2.0116
1500.0,-1.9235999999999993
1600.0,-1.9796
1700.0,-2.0612000000000004
1800.0,-1.9444000000000006
1900.0,-2.0003999999999995
2000.0,-1.9711999999999994
2100.0,-2.0636000000000005
2200.0,-2.0688000000000004
2300.0,-1.9596
2400.0,-1.9204000000000006
2500.0,-2.1068000000000002
2600.0,-2.0460000000000003
2700.0,-2.083200000000001
2800.0,-2.100400000000001
2900.0,-2.157200000000001
3000.0,-1.9608
3100.0,-2.032800000000001
3200.0,-2.1172000000000004
3300.0,-2.3796000000000013
3400.0,-2.325600000000002
3500.0,-2.3763999999999994
3600.0,-2.2976
3700.0,-2.25
3800.0,-2.432400000000001
3900.0,-2.228
4000.0,-2.62
4100.0,-2.4480000000000013
4200.0,-2.672000000000001
4300.0,-2.5052000000000003
4400.0,-2.7048000000000005
4500.0,-2.7123999999999997
4600.0,-2.7960000000000007
4700.0,-2.7500000000000004
4800.0,-3.1912000000000003
4900.0,-3.018000000000001
5000.0,-3.2623999999999995
5100.0,-3.306400000000002
5200.0,-3.135600000000002
5300.0,-3.3308000000000004
5400.0,-3.1976000000000018
5500.0,-3.7160000000000006
5600.0,-4.235199999999995
5700.0,-3.7756000000000007
5800.0,-3.5680000000000014
5900.0,-3.9440000000000026
6000.0,-4.109999999999998
6100.0,-4.593999999999999
6200.0,-4.0484
6300.0,-4.510399999999995
6400.0,-4.3252
6500.0,-4.7503999999999955
6600.0,-4.968799999999996
6700.0,-5.125199999999989
6800.0,-5.378799999999991
6900.0,-4.979199999999996
7000.0,-4.661999999999995
7100.0,-5.513199999999995
7200.0,-5.412799999999995
7300.0,-4.921599999999995
7400.0,-5.2215999999999925
7500.0,-5.649999999999989
7600.0,-5.547599999999991
7700.0,-5.187599999999995
7800.0,-5.817999999999987
7900.0,-5.66799999999999
8000.0,-6.374399999999984
8100.0,-5.846799999999987
8200.0,-6.439199999999976
8300.0,-6.165199999999988
8400.0,-6.0047999999999915
8500.0,-7.436399999999964
8600.0,-6.12319999999998
8700.0,-6.183599999999977
8800.0,-5.873999999999987
8900.0,-6.70559999999998
9000.0,-6.373199999999989
9100.0,-6.201999999999986
9200.0,-7.091599999999979
9300.0,-7.267599999999974
9400.0,-6.223599999999979
9500.0,-6.619599999999979
9600.0,-7.001199999999978
9700.0,-6.3755999999999835
9800.0,-6.795999999999981
9900.0,-6.454799999999974
