k,r
0.0,-1.6689999999999996
100.0,-1.817
200.0,-1.9699999999999995
300.0,-1.4749999999999994
400.0,-1.3990000000000002
500.0,-1.4820000000000004
600.0,-1.2859999999999996
700.0,-1.4259999999999997
800.0,-1.3020000000000007
900.0,-1.3259999999999998
1000.0,-1.2810000000000006
1100.0,-1.4440000000000004
1200.0,-1.5809999999999997
1300.0,-1.5450000000000006
1400.0,-1.3960000000000001
1500.0,-1.3479999999999996
1600.0,-1.7479999999999993
1700.0,-1.7000000000000002
1800.0,-1.6039999999999999
1900.0,-1.86
2000.0,-1.7159999999999997
2100.0,-1.7139999999999997
2200.0,-1.5030000000000001
2300.0,-1.4820000000000004
2400.0,-1.3680000000000008
2500.0,-1.5769999999999995
2600.0,-1.5850000000000006
2700.0,-1.433
2800.0,-1.2989999999999997
2900.0,-1.4660000000000009
3000.0,-1.446
3100.0,-1.9260000000000008
3200.0,-1.9039999999999997
3300.0,-1.7440000000000004
3400.0,-1.7180000000000009
3500.0,-1.5170000000000001
3600.0,-1.5100000000000007
3700.0,-1.3410000000000004
3800.0,-1.2320000000000002
3900.0,-1.3950000000000005
4000.0,-1.2809999999999997
4100.0,-1.3569999999999995
4200.0,-1.4350000000000003
4300.0,-1.6969999999999996
4400.0,-1.6279999999999994
4500.0,-1.7660000000000005
4600.0,-1.6720000000000002
4700.0,-1.6839999999999997
4800.0,-1.713
4900.0,-1.7330000000000008
5000.0,-1.8950000000000002
5100.0,-1.9440000000000013
5200.0,-1.7720000000000005
5300.0,-1.7120000000000015
5400.0,-1.5750000000000006
5500.0,-1.3789999999999998
5600.0,-1.852
5700.0,-1.9040000000000012
5800.0,-2.063
5900.0,-1.9300000000000004
6000.0,-1.6310000000000002
6100.0,-1.7139999999999997
6200.0,-1.5420000000000003
6300.0,-1.4040000000000001
6400.0,-1.479
6500.0,-1.6550000000000002
6600.0,-1.5410000000000006
6700.0,-1.5819999999999999
6800.0,-1.759000000000001
6900.0,-1.6670000000000007
7000.0,-1.6920000000000008
7100.0,-1.594
7200.0,-1.7130000000000003
7300.0,-1.6389999999999991
7400.0,-1.658
7500.0,-1.5789999999999997
7600.0,-1.4440000000000006
7700.0,-1.520000000000001
7800.0,-1.5700000000000003
7900.0,-1.5579999999999998
8000.0,-1.9580000000000004
8100.0,-1.4839999999999998
8200.0,-1.496
8300.0,-1.3430000000000002
8400.0,-1.5669999999999995
8500.0,-1.4849999999999997
8600.0,-1.5970000000000004
8700.0,-1.347
8800.0,-1.4540000000000004
8900.0,-1.4870000000000008
9000.0,-1.5280000000000007
9100.0,-1.538
9200.0,-1.5400000000000005
9300.0,-1.4509999999999998
9400.0,-1.545
9500.0,-1.493000000000001
9600.0,-1.4090000000000007
9700.0,-1.4119999999999997
9800.0,-1.5780000000000007
9900.0,-1.4689999999999999
