k,r
0.0,-1.9364
100.0,-1.9399999999999997
200.0,-2.064799999999999
300.0,-1.8644000000000003
400.0,-1.9351999999999991
500.0,-2.1572000000000013
600.0,-2.0831999999999993
700.0,-2.2036000000000002
800.0,-2.2051999999999996
900.0,-2.040000000000001
1000.0,-2.0260000000000002
1100.0,-2.0896000000000003
1200.0,-2.214
1300.0,-2.2083999999999997
1400.0,-2.4720000000000004
1500.0,-2.292800000000001
1600.0,-2.3968000000000007
1700.0,-2.5947999999999998
1800.0,-2.739600000000001
1900.0,-2.8972000000000007
2000.0,-3.175200000000002
2100.0,-3.032
2200.0,-3.6496000000000004
2300.0,-3.915999999999998
2400.0,-4.285999999999996
2500.0,-5.485599999999986
2600.0,-6.639199999999983
2700.0,-7.701599999999953
2800.0,-12.529199999999912
2900.0,-15.980799999999832
3000.0,-18.58319999999985
3100.0,-20.007199999999774
3200.0,-23.504399999999933
3300.0,-28.15079999999982
3400.0,-27.560799999999876
3500.0,-32.063600000000115
3600.0,-29.015999999999913
3700.0,-29.151999999999973
3800.0,-31.009999999999824
3900.0,-38.867600000000195
4000.0,-43.546000000000205
4100.0,-40.64039999999996
4200.0,-49.08120000000069
4300.0,-44.800400000000025
4400.0,-44.23720000000032
4500.0,-62.70280000000078
4600.0,-49.63640000000002
4700.0,-46.01120000000017
4800.0,-55.211600000000615
4900.0,-47.06520000000044
5000.0,-41.32280000000051
5100.0,-49.28599999999995
5200.0,-51.4268000000005
5300.0,-54.42280000000068
5400.0,-46.72480000000023
5500.0,-49.849600000000116
5600.0,-59.23120000000102
5700.0,-59.25640000000057
5800.0,-47.40400000000012
5900.0,-67.9288000000007
6000.0,-55.86240000000083
6100.0,-65.90320000000024
6200.0,-59.8344000000006
6300.0,-61.006000000000455
6400.0,-57.29520000000104
6500.0,-60.37240000000051
6600.0,-55.23040000000058
6700.0,-63.63799999999985
6800.0,-60.69640000000059
6900.0,-82.36200000000085
7000.0,-70.28720000000123
7100.0,-67.10560000000058
7200.0,-62.77920000000094
7300.0,-77.36920000000072
7400.0,-65.97960000000081
7500.0,-65.5336000000002
7600.0,-74.73880000000086
7700.0,-71.47440000000047
7800.0,-65.80640000000096
7900.0,-64.20320000000082
8000.0,-78.00120000000128
8100.0,-83.7180000000016
8200.0,-72.24040000000102
8300.0,-85.63080000000134
8400.0,-80.15440000000157
8500.0,-68.15360000000072
8600.0,-80.35000000000083
8700.0,-79.9788000000023
8800.0,-98.950800000002
8900.0,-83.49000000000086
9000.0,-76.85000000000127
9100.0,-66.13240000000116
9200.0,-84.51800000000053
9300.0,-87.85520000000193
9400.0,-82.76720000000012
9500.0,-77.49200000000096
9600.0,-82.00880000000097
9700.0,-85.10040000000117
9800.0,-68.89520000000066
9900.0,-75.58720000000127
