k,r
0.0,-3.861999999999997
100.0,-2.549999999999997
200.0,-2.5589999999999966
300.0,-3.344999999999996
400.0,-2.796999999999995
500.0,-2.4389999999999974
600.0,-2.6749999999999954
700.0,-2.897
800.0,-1.766999999999997
900.0,-1.7399999999999989
1000.0,-2.108999999999998
1100.0,-2.620999999999995
1200.0,-2.2059999999999973
1300.0,-2.0619999999999994
1400.0,-2.5669999999999957
1500.0,-3.222999999999995
1600.0,-2.4479999999999973
1700.0,-2.3599999999999968
1800.0,-1.6779999999999986
1900.0,-2.4179999999999975
2000.0,-1.6019999999999976
2100.0,-1.9639999999999975
2200.0,-1.3029999999999995
2300.0,-1.6939999999999986
2400.0,-2.6119999999999965
2500.0,-1.5499999999999983
2600.0,-1.9889999999999979
2700.0,-2.4499999999999966
2800.0,-1.9419999999999968
2900.0,-2.1939999999999973
3000.0,-1.8889999999999978
3100.0,-2.1919999999999957
3200.0,-2.1829999999999967
3300.0,-2.2149999999999976
3400.0,-1.7169999999999979
3500.0,-1.7149999999999974
3600.0,-2.3429999999999978
3700.0,-1.3699999999999992
3800.0,-1.4009999999999994
3900.0,-1.5979999999999976
4000.0,-1.8459999999999974
4100.0,-2.244999999999996
4200.0,-1.846999999999998
4300.0,-2.4369999999999963
4400.0,-1.8459999999999972
4500.0,-1.7469999999999988
4600.0,-1.8479999999999976
4700.0,-1.662999999999998
4800.0,-1.6009999999999989
4900.0,-1.4829999999999992
5000.0,-1.772999999999998
5100.0,-1.7539999999999971
5200.0,-1.724
5300.0,-1.2469999999999988
5400.0,-1.5589999999999984
5500.0,-1.3489999999999986
5600.0,-0.9349999999999992
5700.0,-1.7389999999999985
5800.0,-1.5819999999999987
5900.0,-1.9539999999999984
6000.0,-1.6019999999999985
6100.0,-1.355999999999999
6200.0,-1.3279999999999992
6300.0,-1.4389999999999983
6400.0,-1.5799999999999983
6500.0,-1.8529999999999984
6600.0,-1.4129999999999998
6700.0,-1.5319999999999994
6800.0,-1.096999999999999
6900.0,-1.215999999999999
7000.0,-1.7079999999999982
7100.0,-1.3869999999999987
7200.0,-1.0609999999999997
7300.0,-1.2909999999999988
7400.0,-0.7969999999999996
7500.0,-0.7560000000000002
7600.0,-1.195
7700.0,-1.2299999999999998
7800.0,-0.9759999999999998
7900.0,-1.0709999999999993
8000.0,-1.1279999999999994
8100.0,-1.2159999999999993
8200.0,-1.1459999999999995
8300.0,-1.2689999999999986
8400.0,-1.6559999999999988
8500.0,-1.177
8600.0,-0.8320000000000001
8700.0,-1.3249999999999995
8800.0,-1.7349999999999983
8900.0,-1.5359999999999985
9000.0,-1.9369999999999985
9100.0,-1.5899999999999976
9200.0,-1.1959999999999986
9300.0,-1.6699999999999977
9400.0,-1.4449999999999983
9500.0,-1.459999999999998
9600.0,-1.5729999999999986
9700.0,-1.0179999999999996
9800.0,-1.2699999999999998
9900.0,-1.4529999999999985
