k,r
0.0,-7.775599999999956
100.0,-38.160800000000194
200.0,-71.79160000000071
300.0,-70.08680000000058
400.0,-78.49640000000043
500.0,-59.400800000000174
600.0,-63.04480000000052
700.0,-64.53680000000088
800.0,-71.15440000000068
900.0,-67.83400000000115
1000.0,-67.66360000000034
1100.0,-69.21800000000107
1200.0,-70.76640000000074
1300.0,-63.942000000000604
1400.0,-56.99160000000036
1500.0,-59.126000000000516
1600.0,-61.70480000000157
1700.0,-62.46320000000015
1800.0,-59.382800000000344
1900.0,-66.10720000000236
2000.0,-66.85640000000049
2100.0,-64.35920000000084
2200.0,-70.31280000000125
2300.0,-64.61440000000141
2400.0,-71.30360000000081
2500.0,-74.49520000000119
2600.0,-70.58000000000001
2700.0,-76.34600000000061
2800.0,-77.9996000000006
2900.0,-76.14880000000139
3000.0,-85.66680000000113
3100.0,-81.18120000000113
3200.0,-84.83920000000114
3300.0,-75.93160000000024
3400.0,-81.41200000000119
3500.0,-83.09600000000054
3600.0,-77.1400000000004
3700.0,-82.0104000000005
3800.0,-82.78560000000144
3900.0,-78.99800000000063
4000.0,-77.39720000000078
4100.0,-79.79559999999961
4200.0,-88.89320000000181
4300.0,-77.20840000000068
4400.0,-80.04840000000054
4500.0,-78.56720000000172
4600.0,-64.81880000000096
4700.0,-62.15880000000038
4800.0,-64.70360000000026
4900.0,-60.46960000000054
5000.0,-51.83920000000031
5100.0,-62.12000000000058
5200.0,-59.02080000000098
5300.0,-54.05480000000025
5400.0,-61.084400000000194
5500.0,-56.504400000000125
5600.0,-62.2124000000007
5700.0,-58.73480000000004
5800.0,-75.8412000000027
5900.0,-69.75120000000118
6000.0,-71.71680000000094
6100.0,-65.81519999999979
6200.0,-62.076800000000375
6300.0,-66.38040000000068
6400.0,-67.06080000000016
6500.0,-74.95800000000168
6600.0,-73.66280000000066
6700.0,-65.73800000000115
6800.0,-74.58360000000103
6900.0,-60.622800000000005
7000.0,-66.19680000000093
7100.0,-74.00680000000133
7200.0,-68.79920000000065
7300.0,-71.31160000000155
7400.0,-64.03160000000052
7500.0,-71.62199999999997
7600.0,-73.46400000000169
7700.0,-69.01880000000082
7800.0,-67.50760000000069
7900.0,-92.7172000000017
8000.0,-94.7408000000029
8100.0,-88.47640000000166
8200.0,-102.78080000000173
8300.0,-83.36800000000157
8400.0,-83.04840000000142
8500.0,-64.63560000000071
8600.0,-68.75920000000102
8700.0,-73.1988000000008
8800.0,-71.52640000000063
8900.0,-72.78000000000125
9000.0,-79.07040000000083
9100.0,-83.89680000000263
9200.0,-69.8160000000021
9300.0,-74.05080000000154
9400.0,-72.6476000000021
9500.0,-80.65280000000138
9600.0,-81.33680000000174
9700.0,-81.2212000000027
9800.0,-80.96440000000018
9900.0,-82.9956000000013
