k,r
0.0,-2.2780000000000005
100.0,-2.269
200.0,-2.613999999999999
300.0,-2.27
400.0,-2.5650000000000013
500.0,-2.2739999999999996
600.0,-2.522
700.0,-2.469000000000001
800.0,-2.367
900.0,-2.458
1000.0,-2.394
1100.0,-2.6069999999999993
1200.0,-2.609
1300.0,-2.2920000000000003
1400.0,-2.452000000000001
1500.0,-2.522
1600.0,-2.6020000000000003
1700.0,-2.4489999999999994
1800.0,-2.32
1900.0,-2.5019999999999993
2000.0,-2.471999999999998
2100.0,-2.4659999999999993
2200.0,-2.461999999999999
2300.0,-2.4619999999999984
2400.0,-2.503999999999999
2500.0,-2.2729999999999984
2600.0,-2.6339999999999986
2700.0,-2.754999999999999
2800.0,-2.9519999999999977
2900.0,-3.2189999999999976
3000.0,-2.8209999999999993
3100.0,-2.9459999999999975
3200.0,-2.675999999999998
3300.0,-3.1709999999999963
3400.0,-3.6519999999999957
3500.0,-3.973999999999998
3600.0,-3.4059999999999953
3700.0,-2.9969999999999963
3800.0,-2.772999999999995
3900.0,-3.3919999999999946
4000.0,-4.149999999999995
4100.0,-4.284999999999994
4200.0,-3.3919999999999955
4300.0,-3.9399999999999955
4400.0,-3.574999999999997
4500.0,-3.4719999999999955
4600.0,-5.039999999999999
4700.0,-3.4479999999999946
4800.0,-3.2449999999999948
4900.0,-2.5359999999999956
5000.0,-3.6359999999999957
5100.0,-4.355999999999994
5200.0,-2.8099999999999947
5300.0,-3.4529999999999945
5400.0,-2.149999999999997
5500.0,-2.918999999999997
5600.0,-2.5849999999999995
5700.0,-4.196999999999997
5800.0,-2.562999999999997
5900.0,-2.2529999999999966
6000.0,-2.699
6100.0,-2.690999999999999
6200.0,-2.5769999999999946
6300.0,-3.1549999999999936
6400.0,-2.706999999999996
6500.0,-2.0409999999999964
6600.0,-2.490999999999998
6700.0,-2.357999999999997
6800.0,-2.461999999999996
6900.0,-2.852999999999997
7000.0,-2.0389999999999975
7100.0,-2.792999999999994
7200.0,-2.220999999999999
7300.0,-2.6329999999999956
7400.0,-1.7899999999999971
7500.0,-2.487999999999997
7600.0,-1.9019999999999977
7700.0,-2.377999999999998
7800.0,-1.2739999999999994
7900.0,-2.3089999999999966
8000.0,-3.3909999999999956
8100.0,-1.803999999999998
8200.0,-2.753999999999997
8300.0,-1.523999999999999
8400.0,-2.3009999999999993
8500.0,-2.3019999999999965
8600.0,-1.9039999999999977
8700.0,-1.427999999999999
8800.0,-1.4519999999999982
8900.0,-1.7149999999999992
9000.0,-1.7529999999999983
9100.0,-1.942999999999997
9200.0,-2.2539999999999973
9300.0,-1.650999999999999
9400.0,-1.2039999999999995
9500.0,-1.5059999999999973
9600.0,-1.782999999999997
9700.0,-2.3149999999999973
9800.0,-2.139999999999996
9900.0,-2.041999999999997
