k,r
0.0,-1.7656000000000003
100.0,-1.8696000000000006
200.0,-1.7512000000000003
300.0,-1.8700000000000006
400.0,-1.7767999999999995
500.0,-1.8020000000000007
600.0,-1.8944000000000012
700.0,-1.9852
800.0,-1.8976000000000004
900.0,-1.9627999999999997
1000.0,-1.9003999999999996
1100.0,-1.9004000000000003
1200.0,-1.915200000000001
1300.0,-1.869200000000001
1400.0,-1.8604000000000003
1500.0,-1.9496000000000009
1600.0,-2.1256000000000004
1700.0,-1.7760000000000005
1800.0,-2.1260000000000012
1900.0,-1.9771999999999996
2000.0,-2.0580000000000003
2100.0,-2.0303999999999998
2200.0,-2.1524000000000014
2300.0,-2.222000000000001
2400.0,-1.9544
2500.0,-2.1272000000000006
2600.0,-2.0351999999999997
2700.0,-2.1904
2800.0,-2.336400000000001
2900.0,-2.0092000000000003
3000.0,-2.277600000000002
3100.0,-2.3696000000000015
3200.0,-2.228400000000001
3300.0,-2.218400000000001
3400.0,-2.3404000000000007
3500.0,-2.4303999999999997
3600.0,-2.3764000000000003
3700.0,-2.6672000000000002
3800.0,-2.854400000000002
3900.0,-2.773600000000002
4000.0,-2.978800000000001
4100.0,-3.1912000000000016
4200.0,-3.3504
4300.0,-3.1368000000000005
4400.0,-3.840800000000001
4500.0,-4.178000000000001
4600.0,-3.8716000000000013
4700.0,-4.581599999999992
4800.0,-5.220399999999995
4900.0,-5.168399999999998
5000.0,-5.510799999999992
5100.0,-6.002799999999986
5200.0,-6.507599999999984
5300.0,-7.837199999999974
5400.0,-7.295199999999975
5500.0,-7.857199999999972
5600.0,-9.766399999999944
5700.0,-8.442399999999962
5800.0,-9.366799999999948
5900.0,-9.47079999999995
6000.0,-10.397599999999933
6100.0,-10.055999999999942
6200.0,-10.641199999999928
6300.0,-11.62959999999991
6400.0,-11.11119999999993
6500.0,-12.089599999999914
6600.0,-12.719199999999901
6700.0,-14.859199999999865
6800.0,-12.644799999999902
6900.0,-15.361199999999844
7000.0,-14.36919999999987
7100.0,-15.209999999999859
7200.0,-16.43359999999988
7300.0,-18.201599999999786
7400.0,-17.13519999999982
7500.0,-15.348799999999853
7600.0,-19.354799999999795
7700.0,-20.35199999999975
7800.0,-20.040399999999877
7900.0,-20.600399999999745
8000.0,-21.62719999999977
8100.0,-22.902799999999775
8200.0,-23.509599999999704
8300.0,-25.240799999999744
8400.0,-23.307599999999674
8500.0,-32.42399999999997
8600.0,-31.77720000000004
8700.0,-28.53039999999997
8800.0,-33.80879999999987
8900.0,-36.519199999999934
9000.0,-35.83400000000008
9100.0,-43.58880000000032
9200.0,-35.652800000000205
9300.0,-44.404000000000416
9400.0,-36.982799999999976
9500.0,-39.63880000000048
9600.0,-36.15599999999983
9700.0,-43.58560000000022
9800.0,-40.70880000000051
9900.0,-43.97440000000032
