k,r
0.0,-1.8360000000000005
100.0,-1.8769999999999996
200.0,-1.8119999999999998
300.0,-1.3710000000000004
400.0,-1.6179999999999994
500.0,-1.473000000000001
600.0,-1.344
700.0,-1.425
800.0,-1.4880000000000002
900.0,-1.659
1000.0,-1.6059999999999999
1100.0,-1.6859999999999993
1200.0,-1.2170000000000005
1300.0,-1.4800000000000002
1400.0,-1.449
1500.0,-1.4860000000000004
1600.0,-1.6109999999999998
1700.0,-1.2300000000000002
1800.0,-1.4560000000000004
1900.0,-1.3820000000000006
2000.0,-1.304000000000001
2100.0,-1.4150000000000003
2200.0,-1.3659999999999997
2300.0,-1.391
2400.0,-1.2960000000000005
2500.0,-1.382000000000001
2600.0,-1.1250000000000007
2700.0,-1.1490000000000002
2800.0,-1.3939999999999992
2900.0,-1.4220000000000004
3000.0,-1.097
3100.0,-1.2520000000000007
3200.0,-1.3680000000000003
3300.0,-1.449999999999999
3400.0,-1.383
3500.0,-1.3
3600.0,-1.2909999999999997
3700.0,-1.4670000000000007
3800.0,-1.2810000000000008
3900.0,-1.4219999999999997
4000.0,-1.4010000000000007
4100.0,-1.3020000000000005
4200.0,-1.3860000000000006
4300.0,-1.2220000000000004
4400.0,-1.2640000000000002
4500.0,-1.3760000000000008
4600.0,-1.633000000000001
4700.0,-1.4010000000000007
4800.0,-1.4530000000000003
4900.0,-1.5170000000000008
5000.0,-1.4669999999999999
5100.0,-1.467
5200.0,-1.4650000000000003
5300.0,-1.5759999999999998
5400.0,-1.9369999999999998
5500.0,-1.499
5600.0,-1.6030000000000006
5700.0,-1.6830000000000007
5800.0,-1.6230000000000004
5900.0,-1.628
6000.0,-1.6360000000000006
6100.0,-1.7169999999999996
6200.0,-1.7240000000000004
6300.0,-1.8070000000000002
6400.0,-1.5260000000000002
6500.0,-1.6059999999999997
6600.0,-1.734
6700.0,-1.569
6800.0,-1.4770000000000005
6900.0,-1.6269999999999998
7000.0,-1.7239999999999998
7100.0,-1.8289999999999997
7200.0,-2.0290000000000004
7300.0,-1.9019999999999997
7400.0,-1.5460000000000012
7500.0,-1.4830000000000008
7600.0,-1.443
7700.0,-1.5200000000000002
7800.0,-1.7169999999999996
7900.0,-1.5879999999999999
8000.0,-1.4779999999999998
8100.0,-1.2780000000000002
8200.0,-1.3629999999999998
8300.0,-1.4440000000000006
8400.0,-1.558
8500.0,-1.526
8600.0,-1.6050000000000006
8700.0,-1.6190000000000007
8800.0,-1.3589999999999998
8900.0,-1.4720000000000002
9000.0,-1.3500000000000003
9100.0,-1.6779999999999995
9200.0,-1.5420000000000003
9300.0,-1.5440000000000003
9400.0,-1.5950000000000002
9500.0,-1.5490000000000004
9600.0,-1.4679999999999995
9700.0,-1.7449999999999997
9800.0,-1.5659999999999994
9900.0,-1.5339999999999996
