k,r
0.0,-2.0468
100.0,-3.4476000000000004
200.0,-3.7120000000000015
300.0,-4.8395999999999955
400.0,-4.690399999999998
500.0,-5.80759999999999
600.0,-6.084799999999991
700.0,-6.916399999999985
800.0,-7.841199999999969
900.0,-9.029199999999957
1000.0,-8.239199999999974
1100.0,-9.453199999999947
1200.0,-8.581599999999964
1300.0,-10.431199999999928
1400.0,-9.600799999999948
1500.0,-9.856799999999948
1600.0,-11.681199999999912
1700.0,-10.191999999999933
1800.0,-13.215999999999884
1900.0,-12.151999999999896
2000.0,-13.150399999999884
2100.0,-13.689199999999872
2200.0,-14.017199999999868
2300.0,-15.472399999999825
2400.0,-14.243599999999855
2500.0,-17.68039999999983
2600.0,-19.178399999999797
2700.0,-20.45479999999972
2800.0,-25.372799999999685
2900.0,-25.589199999999806
3000.0,-32.95079999999982
3100.0,-27.03519999999987
3200.0,-29.003999999999834
3300.0,-31.977600000000006
3400.0,-37.09440000000006
3500.0,-34.81720000000013
3600.0,-34.38960000000008
3700.0,-34.854799999999955
3800.0,-29.193199999999937
3900.0,-28.247599999999753
4000.0,-28.365599999999926
4100.0,-28.29919999999971
4200.0,-28.297599999999804
4300.0,-26.21519999999966
4400.0,-24.320799999999622
4500.0,-25.714799999999833
4600.0,-24.75959999999982
4700.0,-28.458799999999904
4800.0,-27.05839999999984
4900.0,-24.005599999999742
5000.0,-23.76599999999967
5100.0,-23.827999999999808
5200.0,-23.977599999999764
5300.0,-20.683999999999756
5400.0,-22.557999999999847
5500.0,-25.120399999999968
5600.0,-25.626799999999733
5700.0,-21.63519999999967
5800.0,-25.9523999999997
5900.0,-21.98599999999976
6000.0,-23.16799999999977
6100.0,-20.5075999999997
6200.0,-24.361999999999842
6300.0,-23.609599999999784
6400.0,-23.422399999999744
6500.0,-25.745999999999768
6600.0,-21.017999999999788
6700.0,-22.69759999999977
6800.0,-22.517599999999902
6900.0,-23.035199999999932
7000.0,-21.337199999999658
7100.0,-21.643599999999722
7200.0,-25.03439999999973
7300.0,-19.206399999999743
7400.0,-20.99519999999965
7500.0,-20.944399999999778
7600.0,-22.087199999999754
7700.0,-18.454799999999757
7800.0,-19.455999999999744
7900.0,-21.548799999999883
8000.0,-21.245599999999946
8100.0,-21.17279999999973
8200.0,-20.475599999999808
8300.0,-21.844399999999663
8400.0,-21.49719999999975
8500.0,-20.529599999999704
8600.0,-23.590399999999796
8700.0,-23.53359999999977
8800.0,-19.894399999999777
8900.0,-21.00999999999966
9000.0,-21.04159999999988
9100.0,-20.178399999999797
9200.0,-20.383999999999745
9300.0,-23.186399999999843
9400.0,-18.053199999999748
9500.0,-21.983999999999874
9600.0,-19.89399999999974
9700.0,-20.698799999999768
9800.0,-21.178399999999794
9900.0,-20.664799999999865
