k,r
0.0,-1.8892000000000002
100.0,-1.7752000000000001
200.0,-1.8108000000000004
300.0,-1.941200000000001
400.0,-1.9248000000000007
500.0,-1.8616000000000001
600.0,-1.7983999999999998
700.0,-1.8539999999999992
800.0,-1.9167999999999998
900.0,-1.8504000000000007
1000.0,-1.9812
1100.0,-2.0428
1200.0,-1.8851999999999995
1300.0,-1.892
1400.0,-1.912
1500.0,-1.8859999999999997
1600.0,-1.907599999999999
1700.0,-1.8915999999999997
1800.0,-1.88
1900.0,-1.9723999999999997
2000.0,-1.9456000000000009
2100.0,-1.9812000000000005
2200.0,-1.9063999999999999
2300.0,-1.9984000000000006
2400.0,-2.008799999999999
2500.0,-2.140400000000001
2600.0,-2.1139999999999994
2700.0,-1.9816000000000003
2800.0,-2.1132000000000004
2900.0,-2.0948000000000007
3000.0,-2.048
3100.0,-2.1320000000000006
3200.0,-2.056800000000001
3300.0,-2.0608000000000013
3400.0,-2.075999999999999
3500.0,-2.304800000000001
3600.0,-2.2600000000000007
3700.0,-2.1864
3800.0,-2.3176000000000005
3900.0,-2.3692000000000006
4000.0,-2.277200000000001
4100.0,-2.2812
4200.0,-2.2039999999999997
4300.0,-2.28
4400.0,-2.569200000000001
4500.0,-2.4216000000000006
4600.0,-2.6500000000000004
4700.0,-2.5592
4800.0,-2.4763999999999995
4900.0,-2.6760000000000006
5000.0,-2.7892
5100.0,-2.4507999999999996
5200.0,-2.766400000000002
5300.0,-2.7736000000000005
5400.0,-2.5948
5500.0,-2.5900000000000007
5600.0,-2.5124
5700.0,-2.747600000000001
5800.0,-2.9219999999999997
5900.0,-2.8556000000000012
6000.0,-2.9536000000000007
6100.0,-2.814000000000001
6200.0,-3.2195999999999994
6300.0,-2.5932
6400.0,-2.5944000000000007
6500.0,-2.815199999999999
6600.0,-3.0207999999999986
6700.0,-2.9712
6800.0,-3.1975999999999996
6900.0,-2.6496000000000004
7000.0,-2.8487999999999993
7100.0,-2.8488000000000007
7200.0,-2.701599999999999
7300.0,-2.883999999999999
7400.0,-2.9763999999999995
7500.0,-2.9691999999999994
7600.0,-2.9324000000000012
7700.0,-2.8116
7800.0,-2.953999999999995
7900.0,-2.587600000000001
8000.0,-2.6596000000000015
8100.0,-2.6664
8200.0,-2.8323999999999985
8300.0,-2.8787999999999965
8400.0,-2.7027999999999976
8500.0,-2.543199999999999
8600.0,-2.2175999999999996
8700.0,-3.228399999999993
8800.0,-3.2620000000000005
8900.0,-2.4112
9000.0,-2.6859999999999973
9100.0,-2.682
9200.0,-2.5799999999999987
9300.0,-2.7739999999999956
9400.0,-2.7427999999999964
9500.0,-2.4867999999999983
9600.0,-2.3327999999999993
9700.0,-2.655999999999994
9800.0,-2.4072
9900.0,-2.3819999999999992
