k,r
0.0,-5.109999999999994
100.0,-10.733199999999922
200.0,-12.862399999999898
300.0,-13.488799999999847
400.0,-8.341599999999913
500.0,-8.11079999999992
600.0,-7.082799999999928
700.0,-7.221999999999924
800.0,-4.627599999999957
900.0,-3.2635999999999843
1000.0,-6.345199999999938
1100.0,-8.944799999999894
1200.0,-7.2439999999999145
1300.0,-5.346399999999964
1400.0,-6.825599999999924
1500.0,-7.318799999999916
1600.0,-6.968399999999924
1700.0,-4.31119999999997
1800.0,-6.409199999999959
1900.0,-6.950799999999933
2000.0,-7.509999999999938
2100.0,-4.988399999999963
2200.0,-5.507199999999951
2300.0,-4.620799999999975
2400.0,-6.090399999999968
2500.0,-11.27479999999989
2600.0,-8.155199999999908
2700.0,-7.300399999999932
2800.0,-8.608399999999909
2900.0,-5.681599999999952
3000.0,-7.373599999999937
3100.0,-5.74999999999996
3200.0,-4.341599999999979
3300.0,-4.9951999999999614
3400.0,-5.03279999999997
3500.0,-4.959999999999963
3600.0,-5.399599999999968
3700.0,-5.011999999999969
3800.0,-3.999599999999985
3900.0,-4.985199999999975
4000.0,-4.6539999999999715
4100.0,-4.2131999999999765
4200.0,-4.710799999999978
4300.0,-3.7259999999999853
4400.0,-4.30279999999997
4500.0,-3.8375999999999806
4600.0,-4.349999999999977
4700.0,-3.7071999999999825
4800.0,-4.198399999999978
4900.0,-3.7595999999999816
5000.0,-3.9991999999999823
5100.0,-3.4255999999999833
5200.0,-4.07039999999997
5300.0,-4.11919999999998
5400.0,-4.087999999999979
5500.0,-4.990799999999963
5600.0,-4.829199999999971
5700.0,-4.60959999999997
5800.0,-3.822799999999981
5900.0,-4.119999999999981
6000.0,-4.365599999999979
6100.0,-4.351199999999983
6200.0,-4.877999999999977
6300.0,-4.7547999999999755
6400.0,-3.795199999999984
6500.0,-5.1367999999999645
6600.0,-4.279999999999975
6700.0,-4.232399999999973
6800.0,-4.296799999999979
6900.0,-4.1703999999999795
7000.0,-4.549199999999968
7100.0,-4.587999999999976
7200.0,-3.7067999999999803
7300.0,-4.30079999999998
7400.0,-4.4387999999999765
7500.0,-4.871199999999971
7600.0,-3.723199999999983
7700.0,-4.677599999999978
7800.0,-4.273199999999978
7900.0,-4.782799999999973
8000.0,-4.506399999999968
8100.0,-5.4675999999999725
8200.0,-4.055199999999982
8300.0,-4.785199999999974
8400.0,-4.858399999999975
8500.0,-4.320799999999981
8600.0,-4.015199999999984
8700.0,-4.5079999999999725
8800.0,-4.060399999999979
8900.0,-4.164799999999972
9000.0,-4.015199999999976
9100.0,-3.551199999999976
9200.0,-3.5251999999999755
9300.0,-4.130399999999971
9400.0,-3.246799999999975
9500.0,-4.195199999999967
9600.0,-4.02199999999998
9700.0,-3.638399999999973
9800.0,-3.6263999999999807
9900.0,-3.093599999999986
