k,r
0.0,-2.606
100.0,-2.8459999999999983
200.0,-2.8879999999999972
300.0,-2.793999999999997
400.0,-3.200999999999999
500.0,-3.402999999999998
600.0,-3.0889999999999964
700.0,-3.619999999999997
800.0,-3.581999999999996
900.0,-3.2549999999999955
1000.0,-3.521999999999996
1100.0,-3.844999999999996
1200.0,-3.4349999999999947
1300.0,-3.8579999999999965
1400.0,-3.5869999999999953
1500.0,-3.6379999999999963
1600.0,-3.662999999999993
1700.0,-3.9259999999999957
1800.0,-3.141999999999998
1900.0,-3.079999999999997
2000.0,-2.6779999999999986
2100.0,-2.643999999999998
2200.0,-2.734
2300.0,-2.269999999999999
2400.0,-2.4309999999999987
2500.0,-2.3850000000000002
2600.0,-2.1249999999999987
2700.0,-2.171
2800.0,-2.0740000000000007
2900.0,-1.8819999999999997
3000.0,-2.2039999999999993
3100.0,-1.969000000000001
3200.0,-2.2189999999999994
3300.0,-1.8029999999999984
3400.0,-1.572
3500.0,-1.8619999999999997
3600.0,-2.145999999999999
3700.0,-1.3890000000000002
3800.0,-1.7230000000000003
3900.0,-1.905
4000.0,-1.75
4100.0,-1.682
4200.0,-1.4610000000000003
4300.0,-1.5100000000000002
4400.0,-1.3960000000000001
4500.0,-1.706999999999999
4600.0,-1.5209999999999995
4700.0,-1.4280000000000004
4800.0,-1.9200000000000006
4900.0,-1.636
5000.0,-1.3600000000000005
5100.0,-1.3430000000000002
5200.0,-1.0860000000000005
5300.0,-1.2620000000000005
5400.0,-1.392
5500.0,-1.4890000000000012
5600.0,-1.4629999999999999
5700.0,-1.456
5800.0,-1.9749999999999996
5900.0,-1.747
6000.0,-1.8769999999999996
6100.0,-1.4909999999999999
6200.0,-1.4039999999999997
6300.0,-1.4190000000000003
6400.0,-1.5720000000000007
6500.0,-1.587
6600.0,-1.3489999999999998
6700.0,-1.6310000000000002
6800.0,-1.334
6900.0,-1.3539999999999999
7000.0,-1.5839999999999987
7100.0,-1.4
7200.0,-1.9979999999999998
7300.0,-1.7920000000000007
7400.0,-1.8479999999999999
7500.0,-1.5270000000000001
7600.0,-2.032
7700.0,-1.7099999999999995
7800.0,-1.5330000000000004
7900.0,-1.4750000000000005
8000.0,-1.489
8100.0,-1.3520000000000005
8200.0,-1.517
8300.0,-1.5400000000000005
8400.0,-1.7529999999999994
8500.0,-1.4940000000000007
8600.0,-1.5810000000000002
8700.0,-1.5139999999999998
8800.0,-1.5370000000000004
8900.0,-1.5259999999999994
9000.0,-1.7159999999999989
9100.0,-1.3860000000000006
9200.0,-1.3999999999999995
9300.0,-1.5800000000000005
9400.0,-1.6920000000000002
9500.0,-1.547000000000001
9600.0,-1.8449999999999998
9700.0,-1.9639999999999997
9800.0,-1.8159999999999998
9900.0,-1.4540000000000008
