func,time,avg_reward
fl_ql_5x5_0.5_0.01_d1,22.06074357032776,-1.624999999999999
fl_ql_5x5_0.5_0.01_d3,25.478577136993408,-2.5909999999999953
fl_ql_5x5_0.5_0.25_d1,21.378610610961914,-2.0319999999999965
fl_ql_5x5_0.5_0.25_d3,26.524441957473755,-3.151999999999997
fl_ql_5x5_0.5_0.5_d1,22.77700901031494,-1.4529999999999985
fl_ql_5x5_0.5_0.5_d3,28.40237593650818,-2.7269999999999963
fl_ql_5x5_0.5_0.75_d1,27.904596090316772,-2.190999999999998
fl_ql_5x5_0.5_0.75_d3,31.019564628601074,-3.8749999999999964
fl_ql_5x5_0.5_0.99_d1,34.01210403442383,-2.996999999999996
fl_ql_5x5_0.5_0.99_d3,33.64647912979126,-3.8189999999999973
fl_ql_5x5_0.75_0.01_d1,20.793142318725586,-1.3399999999999996
fl_ql_5x5_0.75_0.01_d3,19.801249504089355,-1.1599999999999993
fl_ql_5x5_0.75_0.25_d1,19.935787200927734,-0.8499999999999999
fl_ql_5x5_0.75_0.25_d3,21.547387838363647,-1.8659999999999968
fl_ql_5x5_0.75_0.5_d1,22.93039584159851,-1.528999999999999
fl_ql_5x5_0.75_0.5_d3,23.285143852233887,-2.041999999999997
fl_ql_5x5_0.75_0.75_d1,22.889431953430176,-1.696999999999997
fl_ql_5x5_0.75_0.75_d3,25.867408990859985,-2.0049999999999972
fl_ql_5x5_0.75_0.99_d1,23.40402626991272,-0.9169999999999994
fl_ql_5x5_0.75_0.99_d3,30.272702932357788,-2.337999999999997
fl_ql_5x5_0.9_0.01_d1,19.514443159103394,-1.5579999999999987
fl_ql_5x5_0.9_0.01_d3,15.77400255203247,-0.8770000000000003
fl_ql_5x5_0.9_0.25_d1,17.791776657104492,-1.0270000000000004
fl_ql_5x5_0.9_0.25_d3,16.900223970413208,-1.1289999999999993
fl_ql_5x5_0.9_0.5_d1,20.433440923690796,-1.5719999999999996
fl_ql_5x5_0.9_0.5_d3,18.331926107406616,-1.3499999999999985
fl_ql_5x5_0.9_0.75_d1,20.880091190338135,-1.157999999999999
fl_ql_5x5_0.9_0.75_d3,20.24772024154663,-1.4889999999999992
fl_ql_5x5_0.9_0.99_d1,20.45264434814453,-1.4089999999999996
fl_ql_5x5_0.9_0.99_d3,21.429432153701782,-2.2709999999999972
fl_ql_5x5_0.95_0.01_d1,18.44111704826355,-1.1339999999999995
fl_ql_5x5_0.95_0.01_d3,13.750464677810669,-0.6410000000000003
fl_ql_5x5_0.95_0.25_d1,10.411484718322754,-1.0770000000000004
fl_ql_5x5_0.95_0.25_d3,12.861736059188843,-0.934
fl_ql_5x5_0.95_0.5_d1,9.866459846496582,-1.0820000000000003
fl_ql_5x5_0.95_0.5_d3,12.936450242996216,-0.892
fl_ql_5x5_0.95_0.75_d1,7.27985692024231,-1.129
fl_ql_5x5_0.95_0.75_d3,12.768619060516357,-1.0739999999999998
fl_ql_5x5_0.95_0.99_d1,6.5498130321502686,-1.4689999999999999
fl_ql_5x5_0.95_0.99_d3,11.0818510055542,-1.405
fl_ql_5x5_0.99_0.01_d1,10.031288385391235,-1.08
fl_ql_5x5_0.99_0.01_d3,9.912444353103638,-1.0520000000000005
fl_ql_5x5_0.99_0.25_d1,9.216665744781494,-0.92
fl_ql_5x5_0.99_0.25_d3,12.221348762512207,-0.8319999999999999
fl_ql_5x5_0.99_0.5_d1,7.86272668838501,-1.1689999999999998
fl_ql_5x5_0.99_0.5_d3,12.407081842422485,-1.0710000000000002
fl_ql_5x5_0.99_0.75_d1,6.5048651695251465,-1.219
fl_ql_5x5_0.99_0.75_d3,12.36577558517456,-1.2620000000000002
fl_ql_5x5_0.99_0.99_d1,6.080829858779907,-1.5339999999999996
fl_ql_5x5_0.99_0.99_d3,11.517242431640625,-1.4540000000000008
fl_ql_15x15_0.5_0.01_d1,616.204580783844,-38.85440000000021
fl_ql_15x15_0.5_0.01_d3,208.34940385818481,-43.665200000000276
fl_ql_15x15_0.5_0.25_d1,735.2886774539948,-41.37960000000002
fl_ql_15x15_0.5_0.25_d3,368.9498927593231,-47.90239999999995
fl_ql_15x15_0.5_0.5_d1,817.4159879684448,-48.8484000000004
fl_ql_15x15_0.5_0.5_d3,437.0147957801819,-52.45400000000048
fl_ql_15x15_0.5_0.75_d1,1090.6221313476562,-82.9956000000013
fl_ql_15x15_0.5_0.75_d3,524.7228317260742,-69.75880000000018
fl_ql_15x15_0.5_0.99_d1,1411.3221142292023,-118.17080000000446
fl_ql_15x15_0.5_0.99_d3,646.5740370750427,-75.58720000000127
fl_ql_15x15_0.75_0.01_d1,326.84864711761475,-20.664799999999865
fl_ql_15x15_0.75_0.01_d3,166.20687770843506,-43.97440000000032
fl_ql_15x15_0.75_0.25_d1,399.311692237854,-20.87479999999979
fl_ql_15x15_0.75_0.25_d3,333.09437370300293,-35.929200000000016
fl_ql_15x15_0.75_0.5_d1,447.8885877132416,-23.753999999999806
fl_ql_15x15_0.75_0.5_d3,425.3605988025665,-46.13600000000014
fl_ql_15x15_0.75_0.75_d1,974.8445708751678,-61.24200000000119
