k,r
0.0,-1.8424000000000005
100.0,-1.8175999999999994
200.0,-1.8336000000000001
300.0,-1.8011999999999995
400.0,-1.872400000000001
500.0,-1.7984
600.0,-1.8872000000000002
700.0,-1.955199999999999
800.0,-1.8971999999999998
900.0,-1.8039999999999998
1000.0,-1.8696000000000002
1100.0,-1.9255999999999998
1200.0,-1.8808
1300.0,-1.8104000000000002
1400.0,-1.9132000000000005
1500.0,-1.8808
1600.0,-1.9764000000000004
1700.0,-1.9451999999999998
1800.0,-2.0172
1900.0,-2.0452
2000.0,-1.9539999999999997
2100.0,-1.9388000000000003
2200.0,-1.8920000000000001
2300.0,-1.9560000000000008
2400.0,-1.8319999999999996
2500.0,-1.8452000000000002
2600.0,-1.89
2700.0,-1.8496000000000004
2800.0,-1.874
2900.0,-1.970399999999999
3000.0,-1.9484000000000006
3100.0,-1.8767999999999998
3200.0,-1.9604000000000001
3300.0,-1.9640000000000004
3400.0,-2.075999999999999
3500.0,-1.7788
3600.0,-1.9516
3700.0,-1.9791999999999996
3800.0,-1.8483999999999998
3900.0,-1.8920000000000008
4000.0,-2.0155999999999996
4100.0,-1.9376000000000002
4200.0,-1.8060000000000003
4300.0,-1.7307999999999995
4400.0,-1.8836000000000002
4500.0,-1.9904000000000002
4600.0,-1.7392000000000016
4700.0,-1.7800000000000011
4800.0,-1.824400000000001
4900.0,-1.8884
5000.0,-1.7612000000000003
5100.0,-1.62
5200.0,-1.7332000000000007
5300.0,-1.9043999999999983
5400.0,-1.7624000000000006
5500.0,-2.2719999999999954
5600.0,-1.6643999999999997
5700.0,-1.6267999999999991
5800.0,-1.6852000000000005
5900.0,-1.7827999999999997
6000.0,-1.7499999999999993
6100.0,-1.676800000000001
6200.0,-1.5495999999999999
6300.0,-1.6332000000000002
6400.0,-1.5804000000000002
6500.0,-1.5376000000000003
6600.0,-1.4576000000000002
6700.0,-1.6676
6800.0,-1.9624000000000001
6900.0,-1.6208000000000005
7000.0,-1.667600000000001
7100.0,-1.4976000000000003
7200.0,-1.6176000000000001
7300.0,-1.5203999999999995
7400.0,-1.4604
7500.0,-1.616399999999998
7600.0,-1.721199999999998
7700.0,-1.6939999999999982
7800.0,-1.6064
7900.0,-1.6067999999999987
8000.0,-1.5060000000000004
8100.0,-1.4535999999999996
8200.0,-1.8003999999999971
8300.0,-1.589999999999997
8400.0,-1.4099999999999995
8500.0,-1.6343999999999976
8600.0,-1.6419999999999986
8700.0,-1.3895999999999997
8800.0,-1.53
8900.0,-1.4064000000000005
9000.0,-1.3940000000000001
9100.0,-1.3992000000000002
9200.0,-1.4395999999999998
9300.0,-1.5711999999999986
9400.0,-1.4316
9500.0,-1.5283999999999995
9600.0,-1.386
9700.0,-1.5120000000000005
9800.0,-1.4267999999999992
9900.0,-1.3936
