k,r
0.0,-2.363
100.0,-2.5149999999999997
200.0,-2.554
300.0,-2.611999999999999
400.0,-2.5959999999999996
500.0,-2.5799999999999996
600.0,-2.623
700.0,-2.5869999999999975
800.0,-3.306999999999998
900.0,-2.307
1000.0,-2.333
1100.0,-2.825999999999998
1200.0,-2.7849999999999984
1300.0,-2.265000000000001
1400.0,-2.2869999999999986
1500.0,-2.5269999999999992
1600.0,-2.7549999999999977
1700.0,-2.307000000000001
1800.0,-2.6649999999999996
1900.0,-2.380999999999998
2000.0,-2.418999999999999
2100.0,-2.327
2200.0,-2.976999999999998
2300.0,-2.044999999999999
2400.0,-2.0269999999999997
2500.0,-2.7079999999999984
2600.0,-2.5909999999999966
2700.0,-2.7449999999999983
2800.0,-2.198999999999999
2900.0,-2.673999999999998
3000.0,-2.891999999999998
3100.0,-2.3319999999999976
3200.0,-2.3289999999999997
3300.0,-2.7649999999999983
3400.0,-2.727999999999997
3500.0,-3.115999999999998
3600.0,-2.552999999999999
3700.0,-2.4099999999999975
3800.0,-2.1859999999999977
3900.0,-2.8749999999999964
4000.0,-2.811999999999997
4100.0,-2.2609999999999983
4200.0,-2.3189999999999973
4300.0,-2.4149999999999974
4400.0,-2.479999999999997
4500.0,-2.146999999999999
4600.0,-2.8029999999999986
4700.0,-2.2459999999999987
4800.0,-2.618999999999996
4900.0,-3.0179999999999967
5000.0,-1.8039999999999978
5100.0,-2.0119999999999982
5200.0,-1.9029999999999987
5300.0,-1.3059999999999992
5400.0,-2.548999999999996
5500.0,-2.493999999999996
5600.0,-2.7049999999999947
5700.0,-1.7279999999999986
5800.0,-1.579999999999999
5900.0,-2.426999999999996
6000.0,-2.0679999999999987
6100.0,-2.219999999999999
6200.0,-2.1169999999999973
6300.0,-2.842999999999998
6400.0,-1.8609999999999978
6500.0,-1.891999999999998
6600.0,-1.927999999999998
6700.0,-1.8049999999999984
6800.0,-1.783999999999998
6900.0,-1.6819999999999982
7000.0,-0.898
7100.0,-0.8400000000000002
7200.0,-1.7449999999999983
7300.0,-1.7079999999999982
7400.0,-2.2759999999999994
7500.0,-3.0749999999999966
7600.0,-2.0269999999999984
7700.0,-1.5729999999999995
7800.0,-1.248999999999999
7900.0,-1.756999999999999
8000.0,-0.9929999999999992
8100.0,-1.5089999999999995
8200.0,-1.2049999999999996
8300.0,-1.839999999999998
8400.0,-1.773999999999999
8500.0,-1.1869999999999998
8600.0,-1.7619999999999976
8700.0,-1.5869999999999989
8800.0,-1.975999999999998
8900.0,-1.3339999999999992
9000.0,-1.9529999999999972
9100.0,-1.829999999999999
9200.0,-1.3279999999999998
9300.0,-1.19
9400.0,-1.1859999999999993
9500.0,-1.1969999999999994
9600.0,-1.3369999999999995
9700.0,-2.0449999999999977
9800.0,-2.348999999999996
9900.0,-1.4889999999999992
