k,r
0.0,-1.8500000000000003
100.0,-1.3730000000000002
200.0,-0.9010000000000004
300.0,-0.9409999999999998
400.0,-0.8660000000000003
500.0,-1.0590000000000004
600.0,-1.0710000000000006
700.0,-1.1940000000000002
800.0,-0.9800000000000001
900.0,-1.0950000000000006
1000.0,-1.3229999999999995
1100.0,-1.3290000000000006
1200.0,-1.374
1300.0,-1.2100000000000002
1400.0,-1.1080000000000008
1500.0,-1.5359999999999991
1600.0,-1.4850000000000003
1700.0,-1.2220000000000004
1800.0,-1.3840000000000003
1900.0,-1.357
2000.0,-1.141
2100.0,-1.2840000000000007
2200.0,-1.2339999999999995
2300.0,-1.1339999999999997
2400.0,-1.2429999999999999
2500.0,-1.498999999999999
2600.0,-1.1640000000000006
2700.0,-1.4429999999999998
2800.0,-1.2680000000000002
2900.0,-1.079
3000.0,-1.0540000000000003
3100.0,-1.2799999999999998
3200.0,-1.239
3300.0,-1.5160000000000002
3400.0,-1.3259999999999994
3500.0,-1.236
3600.0,-1.3360000000000005
3700.0,-1.181000000000001
3800.0,-1.244
3900.0,-1.362
4000.0,-1.1050000000000006
4100.0,-1.2350000000000008
4200.0,-1.1060000000000003
4300.0,-1.3430000000000009
4400.0,-1.3390000000000004
4500.0,-1.207
4600.0,-1.1570000000000007
4700.0,-1.2560000000000004
4800.0,-1.2100000000000006
4900.0,-1.276
5000.0,-1.2530000000000003
5100.0,-1.3110000000000002
5200.0,-1.2680000000000002
5300.0,-1.3400000000000003
5400.0,-1.3659999999999999
5500.0,-1.2250000000000003
5600.0,-1.153
5700.0,-1.321
5800.0,-1.1339999999999995
5900.0,-1.1690000000000003
6000.0,-0.9790000000000003
6100.0,-1.2690000000000008
6200.0,-1.15
6300.0,-1.3189999999999997
6400.0,-1.3770000000000004
6500.0,-1.4489999999999998
6600.0,-1.1580000000000004
6700.0,-1.1340000000000003
6800.0,-1.2960000000000003
6900.0,-1.2280000000000002
7000.0,-1.2990000000000006
7100.0,-1.0940000000000003
7200.0,-1.3410000000000002
7300.0,-1.1770000000000003
7400.0,-1.3129999999999997
7500.0,-1.2010000000000003
7600.0,-1.2010000000000005
7700.0,-1.3980000000000006
7800.0,-1.242000000000001
7900.0,-1.2890000000000004
8000.0,-1.1340000000000001
8100.0,-1.0900000000000007
8200.0,-1.1260000000000003
8300.0,-1.1870000000000003
8400.0,-1.192000000000001
8500.0,-1.2320000000000002
8600.0,-1.249
8700.0,-1.259
8800.0,-0.9100000000000005
8900.0,-1.1480000000000004
9000.0,-1.3250000000000006
9100.0,-1.2290000000000005
9200.0,-1.3640000000000003
9300.0,-1.26
9400.0,-1.1960000000000004
9500.0,-1.2820000000000003
9600.0,-1.0440000000000003
9700.0,-1.0160000000000005
9800.0,-1.0830000000000006
9900.0,-1.1689999999999998
