k,r
0.0,-0.1
1.0,-0.18999999999999997
2.0,-0.271
3.0,-0.3439
4.0,-0.40100500000000006
5.0,-0.44820775
6.0,-0.48541408750000004
7.0,-0.515866695625
8.0,-0.5403004747187501
9.0,-0.5600870257515626
10.0,-0.576160066674297
11.0,-0.5893050376835665
12.0,-0.6001185935295701
13.0,-0.6090697016499835
14.0,-0.6165209523551204
15.0,-0.6225973300690664
16.0,-0.627248298215566
17.0,-0.6307513161371432
18.0,-0.6333131725226695
19.0,-0.635140461144678
20.0,-0.6363869105207622
21.0,-0.6371882721896621
22.0,-0.6376494931114483
23.0,-0.6378583984184476
24.0,-0.6378832201395566
25.0,-0.6377787001701015
26.0,-0.6375735736862256
27.0,-0.6372985076323593
28.0,-0.636979450588596
29.0,-0.6366388150234902
