k,r
0.0,-0.039999999999999994
1.0,-0.076
2.0,-0.1084
3.0,-0.13756
4.0,-0.163804
5.0,-0.18742360000000002
6.0,-0.20868124000000005
7.0,-0.22781311600000007
8.0,-0.24503180440000005
9.0,-0.26052862396000004
10.0,-0.274475761564
11.0,-0.2870281854076
12.0,-0.29832536686683997
13.0,-0.30849283018015594
14.0,-0.3176435471621403
15.0,-0.3258791924459262
16.0,-0.3332912732013336
17.0,-0.3399621458812002
18.0,-0.3459659312930802
19.0,-0.35136933816377214
20.0,-0.3562324043473949
21.0,-0.3606091639126554
22.0,-0.3645482430346902
23.0,-0.36809340802005996
24.0,-0.37128402533456306
25.0,-0.3741555417702755
26.0,-0.3767397987103128
27.0,-0.3790655033895463
28.0,-0.3811583821716818
29.0,-0.38304168848640313
30.0,-0.3847361913992225
31.0,-0.3862607387162054
32.0,-0.3876320959609094
33.0,-0.38886555765016717
34.0,-0.38997466745999954
35.0,-0.39097185545401697
36.0,-0.39186807766219217
37.0,-0.3926734525646094
38.0,-0.39339685771475363
39.0,-0.39404654157212304
40.0,-0.3946297089265455
41.0,-0.3951530903817201
42.0,-0.3956225402045993
43.0,-0.39604355263948654
44.0,-0.3964208876519828
