k,d
0.0,1.6399999999999997
1.0,0.9719999999999999
2.0,0.5544000000000002
3.0,0.4136400000000001
4.0,0.31751999999999997
5.0,0.24766559999999993
6.0,0.20479068
7.0,0.155749392
8.0,0.13256631719999978
9.0,0.11304812951999993
10.0,0.09202644932399989
11.0,0.08051068972440006
12.0,0.06657986381616005
13.0,0.05695981024201191
14.0,0.04932129140683922
15.0,0.04160493823298975
16.0,0.03669502992447726
17.0,0.030887624654205068
18.0,0.027073006734897764
19.0,0.023460102814582374
20.0,0.0202669881774762
21.0,0.017901417886522317
22.0,0.015399162569835902
23.0,0.013546119550044033
24.0,0.011710700087128517
25.0,0.010270242533201066
26.0,0.00908652543424504
27.0,0.00793690691272983
28.0,0.006993939680441874
29.0,0.00609156684576867
30.0,0.00535163150491777
31.0,0.004729511837804595
32.0,0.004167759401573712
33.0,0.0036835482957139065
34.0,0.003235861161355408
35.0,0.0028517375060083117
36.0,0.002499033870899392
37.0,0.002209768333665707
38.0,0.0019588197550914344
39.0,0.0017294183379503725
40.0,0.0015283799756028171
41.0,0.00134628473010312
42.0,0.0011866474343935063
43.0,0.0010434023376205692
44.0,0.0009311761989796441
