k,d
0.0,0.6
1.0,0.363
2.0,0.17424000000000006
3.0,0.1617165000000001
4.0,0.14942604600000006
5.0,0.12562461152999996
6.0,0.10751470841924998
7.0,0.08964789480211943
8.0,0.0776583678777224
9.0,0.0670071607488747
10.0,0.057218929376300465
11.0,0.049216513415138
12.0,0.04486437242514979
13.0,0.04016623841019257
14.0,0.036100708651833624
15.0,0.03508394751467647
16.0,0.03443312061760162
17.0,0.033212461548047134
18.0,0.03181770491501246
19.0,0.03054510569586638
20.0,0.028978412254472563
21.0,0.027246978161609148
22.0,0.025418942247104503
23.0,0.02356292810721161
24.0,0.02172050299054884
25.0,0.01992713692441525
26.0,0.01831964916753459
27.0,0.017155394370901078
28.0,0.0160721073964169
29.0,0.014917552170712833
30.0,0.013814498109567586
31.0,0.012723743495144046
32.0,0.012013682809381754
33.0,0.011296164820412846
34.0,0.010568313408778063
35.0,0.009851803822270688
36.0,0.00915104564575353
37.0,0.008475696518231657
38.0,0.00782900220332905
39.0,0.007278262914980238
40.0,0.00682945583339678
41.0,0.006389719615700895
42.0,0.005962784194749937
43.0,0.005551278711815932
44.0,0.005157158215247759
45.0,0.004781696668421542
46.0,0.004425685691625714
47.0,0.004089488147139164
48.0,0.0037731464309690432
49.0,0.0034764379974695503
50.0,0.003198941254206944
51.0,0.0029400794897378457
52.0,0.002699163266573379
53.0,0.0024754219817360035
54.0,0.002268031557812189
55.0,0.0020761359174351623
56.0,0.0018988648591754531
57.0,0.001738138429244973
58.0,0.0015962758690816203
59.0,0.001464624606251741
60.0,0.0013426476353184391
61.0,0.0012298043513594425
62.0,0.0011255574124089396
63.0,0.0010293782351901148
64.0,0.0009407513060147865
