k,d
0.0,0.6
1.0,0.3483333333333333
2.0,0.1604444444444444
3.0,0.14289583333333328
4.0,0.1267009722222222
5.0,0.10221550655864192
6.0,0.08394567886766968
7.0,0.06716746695625064
8.0,0.055833588880816576
9.0,0.046229256892116266
10.0,0.03788120926758709
11.0,0.03126679468781737
12.0,0.027350327143610298
13.0,0.023496896327934252
14.0,0.02026532051040869
15.0,0.018898816708447508
16.0,0.01779880950434215
17.0,0.016474189085240842
18.0,0.015144684912996864
19.0,0.013951517089386245
20.0,0.01270114284333801
21.0,0.011459745376602049
22.0,0.010258940467100464
23.0,0.00912562680224438
24.0,0.00807219667565362
25.0,0.007112212355247727
26.0,0.006429853021017062
27.0,0.005775956142566874
28.0,0.005161487652472263
29.0,0.004590801877597861
30.0,0.004066914617567252
31.0,0.003655745124026444
32.0,0.003301725844507497
33.0,0.002968847352327164
34.0,0.0026591834864484465
35.0,0.0023737210252436913
36.0,0.002112507761788951
37.0,0.001874998202239353
38.0,0.0016601981252341025
39.0,0.0014942978939819218
40.0,0.0013435783116112487
41.0,0.0012048115927684178
42.0,0.0010777462999849163
43.0,0.0009619473971951287
