k,r
0.0,-0.1
1.0,-0.195
2.0,-0.28525
3.0,-0.3709875
4.0,-0.4418797106481482
5.0,-0.5037344213927468
6.0,-0.5551984164102687
7.0,-0.5996313305998089
8.0,-0.6372645003750061
9.0,-0.6694315610437295
10.0,-0.697012761330932
11.0,-0.7208219897405683
12.0,-0.7414960361666663
13.0,-0.759559653999168
14.0,-0.7754315376789471
15.0,-0.78861479917379
16.0,-0.7992734689317615
17.0,-0.8077240880640724
18.0,-0.8142519570203791
19.0,-0.8191450559302391
20.0,-0.8226487336983157
21.0,-0.8249554879991904
22.0,-0.8261995920950771
23.0,-0.8265582535624829
24.0,-0.8261945431225471
25.0,-0.8252671858328484
26.0,-0.8239125541621612
27.0,-0.8220516336692091
28.0,-0.8191024017459386
29.0,-0.8159084822217098
30.0,-0.812757527708001
31.0,-0.8097536768353102
32.0,-0.806936497088893
33.0,-0.8043205517416685
34.0,-0.8019088864702117
35.0,-0.7996983846020895
36.0,-0.7976821570125262
37.0,-0.7958509373235445
38.0,-0.7941939721701984
39.0,-0.7926996742762165
40.0,-0.7913560959646052
41.0,-0.7901512843718368
42.0,-0.7890735380718519
43.0,-0.7881115906746567
