k,d
0.0,0.6
1.0,0.33
2.0,0.1439999999999999
3.0,0.1215
4.0,0.10206
5.0,0.07800299999999999
6.0,0.06068925
7.0,0.04600354499999998
8.0,0.03622820175000002
9.0,0.02841757728749994
10.0,0.02206037424937507
11.0,0.017250087705750018
12.0,0.01429517167188752
13.0,0.011634728535444366
14.0,0.009506444890625701
15.0,0.008398818095498528
16.0,0.007493650282566655
17.0,0.006570908458331859
18.0,0.005722693903702558
19.0,0.004994368861915899
20.0,0.004307456331884119
21.0,0.0036818997151238375
22.0,0.00312261470755848
23.0,0.0026314644032517376
24.0,0.002205187054862723
25.0,0.0018391949932499152
26.0,0.0015364761861631493
27.0,0.0013101337000328561
28.0,0.0011121306981162205
29.0,0.0009390448197148515
