k,r
0.0,-0.039999999999999994
1.0,-0.07799999999999999
2.0,-0.11409999999999997
3.0,-0.14839499999999997
4.0,-0.18097524999999998
5.0,-0.21192648749999998
6.0,-0.24133016312499994
7.0,-0.26926365496874993
8.0,-0.2958004722203124
9.0,-0.3210104486092968
10.0,-0.3449599261788319
11.0,-0.36771192986989026
12.0,-0.3893263333763957
13.0,-0.4098600167075759
14.0,-0.42936701587219706
15.0,-0.4478986650785871
16.0,-0.46550373182465765
17.0,-0.4822285452334247
18.0,-0.49811711797175334
19.0,-0.5132112620731657
20.0,-0.5275506958072109
21.0,-0.5411731489347328
22.0,-0.5541144151027062
23.0,-0.5664085202818545
24.0,-0.5780875888166992
25.0,-0.5891822708112082
26.0,-0.5997212078493741
27.0,-0.6097319764510541
28.0,-0.619239934180009
29.0,-0.6282698896792465
30.0,-0.6368441816174366
31.0,-0.6449851709794099
32.0,-0.6527125127121243
33.0,-0.660046443917498
34.0,-0.6670043090533279
35.0,-0.6736045268627222
36.0,-0.6798625007993352
37.0,-0.685795098647628
38.0,-0.6914161151168736
39.0,-0.6967410852533058
40.0,-0.7017824716017689
41.0,-0.706554644076687
42.0,-0.7110689493694036
43.0,-0.7153387149067639
44.0,-0.7193743323961497
45.0,-0.7231881737967929
46.0,-0.7267890764705627
47.0,-0.730187401738196
48.0,-0.7333910125281528
49.0,-0.7364106224604814
50.0,-0.7392532810765751
51.0,-0.7419292722136697
52.0,-0.7444450424726994
53.0,-0.7468102938754865
54.0,-0.7490309288705425
55.0,-0.7511160045795473
56.0,-0.753070928917648
57.0,-0.7549040995403249
58.0,-0.756620472828836
59.0,-0.7582262512765867
60.0,-0.7596944622737596
61.0,-0.7610531954148013
62.0,-0.7623123221611403
63.0,-0.7634813810557445
64.0,-0.7645643351107313
65.0,-0.765568244757689
66.0,-0.7664962601516203
67.0,-0.7673542287203825
68.0,-0.7681380330870555
69.0,-0.7688556248204794
70.0,-0.7695091000536589
71.0,-0.7701052366413687
72.0,-0.7706465303858846
73.0,-0.7711383597593763
74.0,-0.7715571195394682
75.0,-0.7719206606980145
76.0,-0.77223806868761
