k,d
0.0,1.6399999999999997
1.0,1.0259999999999996
2.0,0.6177111111111109
3.0,0.4864809259259253
4.0,0.39418080246913534
5.0,0.3245421940329217
6.0,0.2832675087988681
7.0,0.22740186958670527
8.0,0.2043063938162133
9.0,0.18390487577039616
10.0,0.15802420872774658
11.0,0.14593034242650726
12.0,0.12738434335350374
13.0,0.115033088398933
14.0,0.10514043786573413
15.0,0.09361842260317194
16.0,0.08715750305313241
17.0,0.07743960704582703
18.0,0.07164670407798535
19.0,0.06553461269684241
20.0,0.05976010338917295
21.0,0.05571735832926378
22.0,0.050592018780421355
23.0,0.0469764749521554
24.0,0.042867755348235836
25.0,0.0396841043217985
26.0,0.03706030170274644
27.0,0.03417065891472791
28.0,0.03178318973752628
29.0,0.029221194973099343
30.0,0.02709737268754142
31.0,0.025278651739921526
32.0,0.02353059934774618
33.0,0.021941584705226544
34.0,0.020385883850096105
35.0,0.018937869237392588
36.0,0.017564132853712635
37.0,0.01650770441952537
38.0,0.015357623319785102
39.0,0.014413246193622886
40.0,0.013364739582788249
41.0,0.012513597445686114
42.0,0.011627430958604967
43.0,0.010813594143313343
44.0,0.010187296814485491
45.0,0.009378187001329974
46.0,0.008876170181384702
47.0,0.008170790625335878
48.0,0.007697501341233592
49.0,0.007109191225218858
50.0,0.006648570733945591
51.0,0.006158937698176992
52.0,0.005722752243961848
53.0,0.005322744308864813
54.0,0.004911136277550576
55.0,0.004600877339200837
56.0,0.004203671479648841
57.0,0.003963531293031841
58.0,0.003626251434608374
59.0,0.003404462423203136
60.0,0.003138267063486855
61.0,0.0029167463706134544
62.0,0.002707806674594637
63.0,0.0024974535835630696
64.0,0.0023301992207656053
65.0,0.002162014818745839
66.0,0.0020005396381966856
67.0,0.0018690511971448664
68.0,0.001729907510661488
69.0,0.0016116721174570525
70.0,0.0015009511713800494
71.0,0.0013922338501388687
72.0,0.00129878275174522
73.0,0.0012115845763401856
74.0,0.0011299472436365754
75.0,0.0010556472445871767
76.0,0.00098326391496395
