k,r
0.0,-0.1
1.0,-0.19899999999999998
2.0,-0.29701
3.0,-0.3940399
4.0,-0.47764733049999997
5.0,-0.5536678314025
6.0,-0.6195811278703374
7.0,-0.6788568439947513
8.0,-0.7311768827397183
9.0,-0.7777790036323604
10.0,-0.819419295702593
11.0,-0.8568777503541438
12.0,-0.8907726582034188
13.0,-0.9216342217511517
14.0,-0.9495365056989803
15.0,-0.9724174687530452
16.0,-0.9906136371694618
17.0,-1.004627845231521
18.0,-1.0151129621795296
19.0,-1.022615526542272
20.0,-1.0277145527513847
21.0,-1.0290582837037132
22.0,-1.0249583389438888
23.0,-1.0186142367002802
24.0,-1.0113127867250822
25.0,-1.0034184658720506
26.0,-0.9944540173659555
27.0,-0.98488485908965
28.0,-0.9748124250397413
29.0,-0.9645308167434039
30.0,-0.9541753881257289
31.0,-0.943913405808969
32.0,-0.9338432604393906
33.0,-0.9240580846067202
34.0,-0.9146174962996749
35.0,-0.9055696424590598
36.0,-0.8969443128378892
37.0,-0.8887613365763442
38.0,-0.8810297494968428
39.0,-0.8737514865818625
40.0,-0.8669220307484657
41.0,-0.8605323111327648
42.0,-0.8545695269380149
43.0,-0.849018248226199
44.0,-0.8438610900109512
45.0,-0.8390793933425297
46.0,-0.834653707650904
47.0,-0.8305642195037648
48.0,-0.8267910730727958
49.0,-0.8233146350753262
50.0,-0.8201156938211193
51.0,-0.8171756143313814
52.0,-0.814476451064808
53.0,-0.812001029083072
54.0,-0.8097329975252598
55.0,-0.8076568616078247
56.0,-0.8057579967486492
57.0,-0.8040226487500284
58.0,-0.8024379228295117
59.0,-0.8009917641075159
60.0,-0.7996729315636786
61.0,-0.7984709672132403
62.0,-0.7973761618963042
63.0,-0.7963795188456954
64.0,-0.7954727159648727
