k,Red Wine Quality BIC
2,10803.83486669756
3,10633.480467847414
4,10658.2038446139
5,10702.379665888591
6,10676.520493738115
7,10744.860293297319
8,10754.7569753402
9,10788.02109650223
10,10850.348417441262
15,11018.484915334499
20,11221.38476330648
25,11474.40847660869
30,11675.811104874161
