k,Contraceptive BIC
2,8610.95403367832
3,7687.115374652106
4,7618.102465983151
5,7099.880155152025
6,7083.752515942692
7,7114.296449385933
8,6906.263259767732
9,6902.290640578968
10,6869.973288495412
15,6874.295269330874
20,7096.26168546364
25,7230.094213063288
30,7466.876136596046
