,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.15599045753479004,0.027595294607999567,0.003199863433837891,0.0015999319904895504,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2}",0.07407263495450038,0.04761904761904767,0.07268104003047332,0.033275502804321754,0.047697368421052704,0.055146073289287584,0.015853211989905212,997,0.05685589259050182,0.047493789273709876,0.05684011081232065,0.07919590730803129,0.05084016163391925,0.05824517232369658,0.011074872579085503
1,0.2319849967956543,0.020706188359521732,0.004000949859619141,1.162153015799898e-06,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3}",0.09445698074793357,0.0883524283804107,0.08301622227081798,0.04628042058501855,0.09030072679533684,0.08055203208987333,0.017456285536431446,942,0.08929776976109557,0.08529896183671792,0.08751903096568882,0.044533281301982086,0.08455322404627622,0.07824045358235213,0.016936370993698487
2,0.1783888339996338,0.04028575882392888,0.0007999420166015625,0.0015998840332031247,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4}",0.10498076781529024,0.054124388743267485,0.10345809286148193,0.10084521895224462,0.08096817403201974,0.08885836063052263,0.01947352442686195,880,0.1002053270421675,0.06242142231459692,0.10384927169529909,0.10575333777840987,0.07414744512495047,0.08927536079108477,0.017625972943297433
3,0.24398508071899414,0.08853812808391848,0.0015999794006347657,0.0019595666174743037,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5}",0.048060809511659544,0.11675334003689777,0.09564574482028944,0.08737004758671714,0.08437835239050173,0.08639144266422548,0.022393828413070485,899,0.05311864632327672,0.1120770743906222,0.10420314338253253,0.10553292356041405,0.08545326681129249,0.0920770108936276,0.021399697990313396
4,0.2519844055175781,0.04292989104078012,0.0007998943328857422,0.0015997886657714844,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6}",0.09536334151681596,0.11192566510628223,0.09505007007427972,0.08033885978265785,0.11649936800693098,0.09983245975959656,0.012979721268733122,736,0.1042780703337699,0.11087178705176201,0.08528098215718063,0.07511752404990409,0.10673304927772523,0.09645628257406838,0.013819037750479572
5,0.23598647117614746,0.019430808746534845,0.0031995296478271483,0.001599764933175576,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7}",0.0854063465147903,0.04653047989623867,0.12625911715767768,0.12164386276172302,0.1150466013859048,0.09878118405864536,0.029889152873938143,753,0.08392282377478485,0.09285800154815828,0.11092820668356744,0.1318384426736865,0.10655026095052829,0.10521954712614508,0.016427315227856874
6,0.2855820178985596,0.02184928990095393,0.0016001224517822265,0.0019597418374824524,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8}",0.11486715698098485,0.08628900046586552,0.12273585592935371,0.04478626142821857,0.04761904761904769,0.08346556642817644,0.0325622519062224,919,0.11258791076278389,0.085244518874995,0.11775651646759598,0.07954925685440833,0.04765817584223541,0.08855927576040372,0.025278141519514765
7,0.2255866050720215,0.033426794287475886,0.0016000747680664062,0.0019596833892375613,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9}",0.047619047619047714,0.09411565978270649,0.14972223768836723,0.11482716331267193,0.0832210139708941,0.09775818418336629,0.03391891366489952,773,0.047619047619047714,0.08486070521864121,0.14558163881437014,0.08510425619753843,0.07638593830113295,0.08791031723014608,0.031935413452103996
8,0.29998126029968264,0.07159501189959526,0.0016001224517822265,0.0019597417678690952,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10}",0.11452807513299483,0.1081653030788511,0.11041278851454112,0.10248944269404756,0.11141863190805935,0.10941829095504822,0.004016114175532629,529,0.10671522591928467,0.09931764259398407,0.10049210280080045,0.10714932312559566,0.11623523853347591,0.10598190659462817,0.0060263055813971475
9,0.25998401641845703,0.03532470436119333,0.0016005992889404296,0.0019603257833314316,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15}",0.21278279656970653,0.10201600646025097,0.04610808615974669,0.13865786360766474,0.04445110756118178,0.10919183545699014,0.06308043070780152,535,0.13162473332097846,0.09111895831260566,0.12698602783945911,0.14614687375145582,0.11043798645259605,0.12126291593541902,0.018895342841357517
10,0.3119816780090332,0.02116507114460887,0.003200340270996094,0.0016001703273241762,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 20}",0.10589405680972055,0.04838893154736518,0.08993513279944947,0.07207872210750856,0.0911927884195591,0.08149499080042294,0.019796847369718373,927,0.1042028437050533,0.058681088354718074,0.0908150397544678,0.0872265988338204,0.08871039995576147,0.0859271941207642,0.014897485488561412
