k,Red Wine Quality log-likelihood
2,-5.221220180065093
3,-5.103974795252088
4,-5.082168635300449
5,-5.069879326869458
6,-5.02332632302498
7,-5.022858921778194
8,-4.993798997284673
9,-4.976171283710501
10,-4.972762356719991
15,-4.88551219006395
20,-4.815269533231171
25,-4.769549315405353
30,-4.698574163608527
