k,Contraceptive log-likelihood
2,-4.501508457251257
3,-3.9748000115124156
4,-3.9018207326298686
5,-3.5904075884807765
6,-3.545499047103337
7,-3.525363102675246
8,-3.3785938657516983
9,-3.340137033514688
10,-3.2866352262804415
15,-3.107188154680996
20,-3.043263607124705
25,-2.932558863956356
30,-2.876498173831058
