k,Red Wine Quality sse (left)
2,4667.5010351652
3,3553.0151696695475
4,2814.3994908204345
5,2367.5508622336038
6,2126.7124556572435
7,1959.3315746188773
8,1802.2695309237433
9,1647.4514490482372
10,1529.260356632085
15,1177.8712773747297
20,961.9157426492429
25,810.9253376180807
30,714.5000360023107
