k,Contraceptive sse (left)
2,4197.891380033417
3,2753.3956163779035
4,1826.0540991631565
5,1567.8135284900088
6,1340.4727482472424
7,1186.3220703499182
8,1065.4625007741063
9,967.9684383272613
10,874.6036411391667
15,589.167153025284
20,463.2468484404335
25,376.1510899305885
30,317.3209341864163
