,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11762886047363282,0.029714313452725596,0.0,0.0,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2}",0.047619047619047714,0.047354097369216856,0.0476190476190475,0.04761904761904777,0.04761904761904769,0.04756564277416984,0.00010628993148992301,1029,0.047619047619047714,0.047651242051930914,0.04761904761904829,0.04775280898876375,0.04761904761904802,0.047652238779567736,5.18079527749392e-05
1,0.12698001861572267,0.03185078703739865,0.0011998653411865235,0.0007483537354600842,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3}",0.047619047619047644,0.18249654484212496,0.04564673632020491,0.047619047619047665,0.04761904761904754,0.07441201525406721,0.05431189324383828,953,0.04761904761904746,0.050074264193928304,0.09137154340539963,0.04761904761904782,0.04761904761904795,0.056860590091294225,0.017281657557263592
2,0.1475067615509033,0.023674211843236384,0.001199817657470703,0.0007481753041451057,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4}",0.046461165358350986,0.2063502958816022,0.1098165434653859,0.05254151517700464,0.21810569710828595,0.12646915405531617,0.07337157017854166,194,0.1582811010319424,0.047359649322040655,0.1081398844750548,0.054725049891032815,0.08916100215652774,0.09153333737531968,0.04010694223667698
3,0.1843259811401367,0.051455324636042146,0.0024039745330810547,0.0028776116025654628,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5}",0.10563239376817521,0.11734866447314415,0.11332921968448016,0.11071452359122928,0.04636898920510284,0.09882629678626638,0.026315089355404997,789,0.10677118167863078,0.11761712133535172,0.11239985490855148,0.11025799102303777,0.0497953176507664,0.09936829331926762,0.025034813800731255
4,0.19150986671447753,0.023891602086869055,0.0008038043975830078,0.0007542917824341888,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6}",0.10442889941460871,0.09900589165795322,0.10620480448067168,0.04441786785841687,0.10805378637381657,0.0924867592927485,0.0241220072236434,874,0.09958482996499873,0.10834028460957261,0.11630276696441628,0.14899332554794878,0.11497760634575062,0.11763976268653739,0.016759364105666256
5,0.18421716690063478,0.03822228355527226,0.0012627601623535155,0.0010374190526527558,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7}",0.0480407773176171,0.1886231703952671,0.12851716521515577,0.07244745034135111,0.13657339953407885,0.11478764660982559,0.04988740204021286,475,0.049824978007126965,0.10071365463638558,0.19965683378235066,0.09238657575690823,0.12506690211123964,0.1135297888588022,0.0494379702896252
6,0.191933012008667,0.030171216157519713,0.002409219741821289,0.0028809714567022927,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8}",0.04777632101832709,0.12430141040174222,0.08767146563753744,0.05781100933559411,0.14729728278597376,0.09282823287818254,0.038026822360912094,863,0.08151211534091533,0.10968936394432222,0.11098086006682943,0.06749444046492838,0.13224782672933644,0.10038492130926638,0.023030665852303074
7,0.169846773147583,0.008853188027299251,0.0018033504486083985,0.0004017701091462883,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9}",0.07484227526124342,0.04761904761904767,0.06586778780332897,0.04761904761904777,0.1205678214763252,0.07119400206004375,0.026694731637461108,977,0.07084599978416144,0.04761904761904714,0.08453360320078238,0.04761904761904734,0.10126950765115184,0.07037744117483802,0.020932392104738868
8,0.2418651580810547,0.049364689475834965,0.0026036739349365235,0.002807246681313269,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10}",0.1122219345087709,0.197116746752507,0.11624786650189611,0.05799982567149573,0.09493408550844515,0.11595029836080076,0.04566284767835104,440,0.1119877012226876,0.1798495326483532,0.11893208416634683,0.06324363831946524,0.09743961104077457,0.11429051347952549,0.037985703873212096
9,0.23178157806396485,0.016799979762147248,0.0007999897003173828,0.0009797832855306249,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15}",0.047697368421052724,0.047697368421052676,0.22665727531298185,0.04711425206124868,0.04761904761904769,0.08328800206382013,0.071597278661569,923,0.04755237698818138,0.04756384621225497,0.11062361581196449,0.04712858833880584,0.04753321517905441,0.060080328506052216,0.025272172111369628
