k,Contraceptive log-likelihood
2,4.348592356788215
3,4.454664478372417
4,8.304836209028661
5,10.00476273998305
6,10.227473208754857
7,10.36501162758249
8,10.460551191172621
9,10.460551191172621
10,10.460551191172621
15,10.460551191172621
20,10.460551191172621
25,10.460551191172621
30,10.460551191172621
