k,Red Wine Quality log-likelihood
2,-4.552610442534674
3,-4.3472197666293075
4,-4.276052785037735
5,-4.220272993500689
6,-4.202401733506672
7,-4.164948541937688
8,-4.130709116140663
9,-4.115248070869713
10,-4.097747992547615
15,-3.9834677939287833
20,-3.880898251262729
25,-3.721416527785291
30,-3.62907411703393
