k,Red Wine Quality BIC
2,9506.49173089302
3,9190.615940903906
4,9149.093382092185
5,9139.02223975192
6,9206.436135885604
7,9233.824563880054
8,9267.781929112389
9,9340.122304140023
10,9408.294895611109
15,9694.41992744149
20,10004.481540039349
25,10198.21465505874
30,10529.18052529023
