k,Red Wine Quality sse (left)
2,3170.7791747662336
3,2266.9617301053922
4,1897.6184210007477
5,1590.117161744926
6,1440.466448722306
7,1306.8247422310355
8,1184.0846022229066
9,1089.506167729848
10,1019.812387813963
15,808.3955545709166
20,690.8846517644099
25,593.0108782780621
30,530.9495852019685
