k,Contraceptive sse (left)
2,864.3032883418327
3,248.78404861428277
4,105.90312920073177
5,56.419625594080784
6,15.538907857368109
7,2.8639875868111755
8,0.0
9,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
