k,Contraceptive BIC
2,-8117.419942168656
3,-8276.171787585836
4,-15488.80729649474
5,-18650.38084916535
6,-19028.879340683976
7,-19246.91369010778
8,-19385.82219626413
9,-19344.73416461667
10,-19303.646132969214
15,-19098.20597473192
20,-18892.76581649463
25,-18687.32565825734
30,-18481.88550002005
