k,GMM,Kmeans
2,0.9256900212314225,0.9256900212314225
3,0.9256900212314225,0.9256900212314225
4,1.0,0.9978768577494692
5,1.0,0.9978768577494692
6,0.9872611464968153,0.9957537154989384
7,0.9872611464968153,0.9925690021231423
8,0.9968152866242038,0.9925690021231423
9,0.9872611464968153,0.9925690021231423
10,0.9968152866242038,0.9925690021231423
15,1.0,0.994692144373673
20,1.0,1.0
25,1.0,0.9957537154989384
30,1.0,1.0
