k,Red Wine Quality sse (left)
2,7685.174248572466
3,6045.788610854753
4,4973.1178506048545
5,4108.39539908597
6,3663.08701876794
7,3293.745752315582
8,3009.3853338916174
9,2726.473478183353
10,2525.0888247939006
15,1820.6743160317146
20,1528.3136150465693
25,1295.8544946929273
30,1103.02362626801
