,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10559911727905273,0.00945252618788699,0.0017994403839111327,0.0003998772614071172,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 2}",0.047915761700210835,0.04761904761904767,0.0476190476190475,0.04761904761904777,0.04761904761904769,0.047679145285193236,0.00011924803694103592,778,0.05762512039302144,0.04761904761904714,0.04761904761904829,0.04761904761904734,0.04761904761904802,0.049620262173842446,0.004002429109589496
1,0.09141530990600585,0.027002253348635916,0.0016000747680664062,0.001959683458852992,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 3}",0.05791107064927227,0.06570944490786576,0.06649297033803593,0.04605709353227702,0.11091952892973063,0.06931862823408694,0.02191160319785942,431,0.0521793266263096,0.062062190040657134,0.061495667372458505,0.06379877758036555,0.09015541193608885,0.06593827471117593,0.012768058803781509
2,0.07920780181884765,0.013705985708387419,0.004000711441040039,0.006198263358171811,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 4}",0.04840500378840602,0.04662533370198716,0.04840256437499865,0.04761904761904767,0.04742339177618145,0.04769566483832139,0.0006696207272388302,770,0.0804828275806955,0.047399445526380125,0.04742218229779228,0.04761904761904814,0.0461056836457492,0.05380583733393305,0.013349332942406093
3,0.08559589385986328,0.006498331635234904,0.0007998466491699219,0.0015996932983398438,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 5}",0.047619047619047644,0.04761904761904772,0.04761904761904756,0.04761904761904759,0.04761904761904756,0.04761904761904761,6.125035511128425e-17,855,0.04761904761904739,0.04761904761904728,0.047619047619047485,0.04761904761904796,0.04761904761904795,0.047619047619047616,2.8707236425739387e-16
4,0.2044132709503174,0.05525605973378752,0.0015996932983398438,0.0019592162151652434,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 6}",0.09253482252391283,0.0640282516632245,0.04498669619670589,0.06335361307262034,0.07634195287788426,0.06830104898657216,0.015772428417076094,453,0.08675308694067975,0.06993417524962925,0.08799333281940985,0.06711554302148723,0.07499001009171631,0.07735722962458448,0.008567455105476676
5,0.1647404670715332,0.008845925219272171,0.002199745178222656,0.0018328037736965476,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 7}",0.047619047619047714,0.0561228200158946,0.09336475922032834,0.0819915799440367,0.059611572543569816,0.0676621164812179,0.01713675997255017,460,0.04932351548300095,0.06982589387908601,0.09467242963762229,0.06856922631186083,0.06288051073831938,0.06905431520997789,0.014727788369133535
6,0.16726408004760743,0.02170019436299991,0.0036002635955810548,0.000800445072840469,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 8}",0.0623815571680921,0.08573427630910706,0.0719482387490968,0.06132601207027166,0.06699385064520268,0.06970021745487567,0.008891307387205822,418,0.06591780839322435,0.07405190720695823,0.10955916375437819,0.11071188079168204,0.09903221891623906,0.09185459581249637,0.018494430834348898
7,0.12406749725341797,0.026869130253551372,0.002199411392211914,0.0018325020488805092,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 9}",0.047619047619047714,0.04761904761904767,0.0476190476190475,0.04761904761904777,0.04761904761904769,0.04761904761904767,9.120286884600572e-17,786,0.047619047619047714,0.04761904761904714,0.04761904761904829,0.04761904761904734,0.04761904761904802,0.04761904761904769,4.2338626521634115e-16
8,0.2210610866546631,0.013177389684109801,0.0032001018524169924,0.0016000509715041532,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 10}",0.0940311877596654,0.0828537971699427,0.088830425578117,0.0681605519864577,0.0937513371687248,0.08554609301617232,0.00956771514110458,98,0.0907198117293563,0.09166752693068955,0.13293430706900547,0.08651360476835168,0.0806687180126766,0.09650079370201592,0.018625679477234133
9,0.23776850700378419,0.05660275302201186,0.003969049453735352,0.0024812963924002937,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 15}",0.04788213627992643,0.04694649930722272,0.04696675725312479,0.046171529897491174,0.047347905059287015,0.04706545688653307,0.000560697022390869,1029,0.047619047619047714,0.04867375499860477,0.04800733317704837,0.0675260782354433,0.047617668714964034,0.051888776549021645,0.007828155817524971
10,0.3363703727722168,0.0274821445745802,0.003000020980834961,0.001549358281511492,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 20}",0.09695457810404941,0.11421870769929643,0.09190747995681095,0.0811583416558715,0.09047832400099416,0.09500933676039675,0.010919232679025668,12,0.0982762347352147,0.09955493961155264,0.08282863470114674,0.08402511344847796,0.08522953199270061,0.08998289089781854,0.007344066766141594
11,0.5247961997985839,0.10808368206063287,0.0028004169464111326,0.0014698988410766748,0.1,"(10,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 25}",0.047619047619047714,0.051885299516806344,0.08781496342233272,0.0512519664164261,0.05073517189979819,0.05783994227206906,0.015041699655490277,584,0.04772838625696145,0.06847749928407772,0.07377071071670863,0.05818924076617014,0.06081016805998687,0.06179520101678095,0.00894331548642013
12,0.5604609966278076,0.10558731130295902,0.002399730682373047,0.00195937227638252,0.1,"(10,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 30}",0.047619047619047714,0.04794530347455841,0.04712041884816742,0.04769736842105278,0.047504965497471255,0.04757828731691876,0.00027057983204259814,975,0.047619047619047714,0.047848324203734464,0.04738673129135968,0.047698129289744456,0.13102620525388603,0.06431568753155446,0.03335559268075516
13,0.07301316261291504,0.011819994208722139,0.0023998737335205076,0.0019594887116154303,0.1,"(20,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 2}",0.047619047619047714,0.04761904761904767,0.047619047619047464,0.04761904761904767,0.04761904761904741,0.04761904761904759,1.2442467314722195e-16,867,0.04761904761904754,0.047619047619047436,0.04761904761904844,0.04761904761904814,0.04761904761904813,0.047619047619047936,3.8493040964755174e-16
14,0.13557796478271483,0.027032440014672452,0.0023970603942871094,0.0019571981354678312,0.1,"(20,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 3}",0.08717776502581112,0.0765923807557532,0.09184232116449867,0.0820815113071477,0.2398770776172369,0.11514420527164249,0.062117833651685515,6,0.08967245978925406,0.08797514954625128,0.08290227266312711,0.08609717494044371,0.07087671005310318,0.08350475339843587,0.0067018826468571956
15,0.08538312911987304,0.008645582659730762,0.002400064468383789,0.001959644434375285,0.1,"(20,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 4}",0.047619047619047714,0.04761904761904767,0.0476190476190475,0.04585298461245309,0.0471142520612486,0.04716848060044284,0.0006832845734740075,1024,0.047619047619047714,0.04761904761904714,0.04761904761904829,0.046922846666223275,0.04786324786324826,0.047528647477322924,0.00031732273724458004
16,0.10879373550415039,0.021671472017237747,0.002400779724121094,0.0019602287514210188,0.1,"(20,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 5}",0.04761904761904766,0.04761904761904772,0.047619047619047575,0.04627363795401538,0.04761904761904754,0.047351808712979566,0.0005367766520445437,1011,0.04761904761904739,0.04761904761904748,0.047619047619047596,0.09205558664307442,0.04761904761904795,0.05650635542385296,0.017774615609610727
17,0.12079410552978516,0.01394708278298853,0.0016003131866455078,0.0019599753694145216,0.1,"(20,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 6}",0.047619047619047714,0.047354097369216856,0.0476190476190475,0.04761904761904777,0.04761904761904769,0.04756564277416984,0.00010628993148992301,983,0.047513302464390325,0.04917080336587808,0.04761904761904829,0.04761904761904734,0.04761904761904802,0.04790824973748241,0.000632603921742348
18,0.21482081413269044,0.021909973149305293,0.0023998260498046876,0.001959449770288796,0.1,"(20,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 7}",0.08540877256995837,0.08729760335516297,0.07861376040857161,0.08176117887515755,0.09599456701085955,0.08580093070875162,0.005879891065586265,94,0.08727319454260576,0.08570009735502124,0.09156116659524706,0.0860253075776761,0.08652297985381652,0.08741654918487334,0.002139094681169459
19,0.16854939460754395,0.022867548645869255,0.0031986236572265625,0.0015993124186174082,0.1,"(20,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 8}",0.07383184578457654,0.0717942361234165,0.08133059217589288,0.07812311224825506,0.08579553053479787,0.07813496524181823,0.005048947022282665,245,0.076312800889558,0.07793306357348466,0.11262301038492824,0.06839747512670744,0.08411109836307706,0.08387548966755107,0.015222030629428044
20,0.17357382774353028,0.016455882177485483,0.0017996788024902343,0.0015997708613830484,0.1,"(20,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 9}",0.047619047619047714,0.04757701112202681,0.047149122807017385,0.04849587597085741,0.04778761061946882,0.04772425476333532,0.00043783038667710597,759,0.04761904761904754,0.058826409449623376,0.05836759436135537,0.0823337586198364,0.0473331235019253,0.058895986710357597,0.012731711215673116
21,0.15210981369018556,0.02175652584131605,0.004077243804931641,0.0007611861258322464,0.1,"(20,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 10}",0.047619047619047714,0.04761904761904767,0.044797662859586085,0.047426702869119,0.04761904761904769,0.04701766946330827,0.00111113445791507,1034,0.047619047619047714,0.04761904761904714,0.09187946228550882,0.04782299558169476,0.04761904761904802,0.05651192014486929,0.017683947480220542
22,0.28767032623291017,0.034567692726808666,0.003799295425415039,0.0004003527335974399,0.1,"(20,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 15}",0.04741004601064403,0.04813304549452311,0.047619047619047464,0.047400330699981695,0.04908312460411517,0.047926253339029654,0.000633164230838605,754,0.0475558813109244,0.04676522935756502,0.04761904761904844,0.07588028027121495,0.04812324127645523,0.053188735967041614,0.011354094736273093
23,0.2924323558807373,0.030789982174136803,0.004902029037475586,0.0039028688969019597,0.1,"(20,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 20}",0.07357530977057304,0.08427622913870529,0.07644570287955604,0.08237607618099672,0.09645960789683813,0.08257641875970155,0.007911944420991149,155,0.08009230379935797,0.08868242942664567,0.08086493680796707,0.08129725528630537,0.08978528792659925,0.08414444264937507,0.0041879332166675255
24,0.45926799774169924,0.10304886804794884,0.0039999961853027345,2.7804145311571603e-07,0.1,"(20,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 25}",0.061599749535323635,0.08507784086906749,0.08025127824304672,0.07018551791242196,0.06790252911074258,0.0730062770557858,0.008540013038146919,351,0.06717410514139296,0.08035764939561564,0.08488307491327837,0.07477429331531364,0.07542924828865027,0.07652367421085018,0.005937196126498715
25,0.5759694576263428,0.12140548439888033,0.0040008544921875,1.3351440429687501e-06,0.1,"(20,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 30}",0.047619047619047714,0.04761904761904767,0.0476190476190475,0.04617551595321221,0.04777594728171342,0.04736333020583227,0.0005944548183814962,1009,0.049562937746996986,0.054382310778511,0.04761904761904829,0.060144360958923324,0.04767568926668447,0.05187686927403281,0.004811691879239662
26,0.10243988037109375,0.01254561029697837,0.003199863433837891,0.0015999317275775412,0.1,"(30,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 2}",0.047619047619047714,0.04761904761904767,0.047619047619047464,0.04761904761904767,0.04761904761904741,0.04761904761904759,1.2442467314722195e-16,867,0.04761904761904754,0.047619047619047436,0.04761904761904844,0.04761904761904814,0.04761904761904813,0.047619047619047936,3.8493040964755174e-16
27,0.11222572326660156,0.019505488975338353,0.0015995502471923828,0.0019590409980519466,0.1,"(30,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (30,), 'gmm__n_components': 3}",0.09480492072766761,0.06391716667195531,0.06887100712937258,0.05988412698226334,0.12067794289839624,0.08157990471851026,0.022938746811337066,186,0.08910471183434507,0.06402315735234561,0.0606296143709954,0.06452180141046715,0.08097953357586815,0.07185176370880428,0.011152869247939687
