k,Contraceptive BIC
2,19948.513172796087
3,1305.2811611473642
4,1380.5138905673539
5,-749.921663801781
6,-3233.7714838370284
7,-302.70319733342694
8,-4634.160128160863
9,-5999.794579131286
10,-6555.728951299105
15,-6716.858611540291
20,-5547.786387850094
25,-10805.892636223827
30,-9901.308835483816
