k,Contraceptive sse (left)
2,9164.749383101722
3,7929.5811890206905
4,6900.140245922109
5,6137.013439395367
6,5571.716314205947
7,5193.952131165469
8,4695.492556936417
9,4405.935295808986
10,4157.0883904253005
15,3377.413637020788
20,2937.486094008946
25,2624.6333171758706
30,2339.1354201735976
