k,Red Wine Quality log-likelihood
2,-5.526109869390235
3,-5.42790692823222
4,-5.412931005769359
5,-5.412710806416274
6,-5.397828944205288
7,-5.376351362181247
8,-5.361097345124519
9,-5.358070707845498
10,-5.347918207117397
15,-5.295876453762347
20,-5.218144373187593
25,-5.139610361494513
30,-5.018840357920581
