k,Red Wine Quality BIC
2,11427.02939167815
3,11295.597747658805
4,11334.282129852352
5,11403.127210082283
6,11442.003851430663
7,11467.398841481161
8,11505.514798324846
9,11568.623519434164
10,11617.166975653561
15,11857.26947033402
20,12044.860936177407
25,12230.813254814933
30,12330.435206048
