k,Contraceptive log-likelihood
2,-10.19218715385736
3,-0.0967135329707221
4,0.06326924870746796
5,1.3939889113777626
6,2.912295763892066
7,1.5564422626171712
8,4.055432294957477
9,4.980206573658179
10,5.475203740467903
15,6.5603051792947
20,6.939354662743905
25,10.729857687628318
30,11.249293807462973
