,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12089900970458985,0.029294046320911184,0.0024001598358154297,0.0019597223247617575,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 2}",0.1289872561024211,0.04712041884816758,0.0927700381853684,0.07099178893949676,0.10991248266210842,0.08996664455792815,0.028812265273654714,294,0.08996521353130388,0.050822472690398135,0.09088650256888446,0.050706280177175586,0.08245780514099939,0.0729676548217523,0.018363240195828797
1,0.1837294578552246,0.08354143760685681,0.0012001514434814454,0.0016000033091059208,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 3}",0.09203068250717145,0.04761904761904772,0.047619047619047575,0.047619047619047665,0.08961602690371874,0.06491513200001163,0.021188424717773838,928,0.0852241245810578,0.04761904761904748,0.047619047619047616,0.04761904761904782,0.08811876902341773,0.06324000729232368,0.019153575862379937
2,0.18133211135864258,0.029272750904629066,0.001599597930908203,0.001959099507243799,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 4}",0.08721976840481432,0.08919369061635427,0.19153134570494018,0.057428158968123665,0.09193945556063737,0.10345447470093072,0.04571473520869155,14,0.08420220426380433,0.08317202162426854,0.12570790707757554,0.050463546174698976,0.08996589172714599,0.08670231417349868,0.023933445374044134
3,0.18774838447570802,0.027756970443164095,0.0015993595123291015,0.00195880736168739,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 5}",0.06483693581631748,0.14143246660031844,0.09187013731114581,0.09005159395196631,0.10923830194741288,0.0994564113608059,0.025414092780424422,55,0.08555087286737599,0.13210949222953555,0.09123432430050257,0.11710877382912252,0.10080798120139042,0.10536228888558544,0.017124404233126472
4,0.2164219856262207,0.02874683528616177,0.0008002758026123047,0.0016005516052246093,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 6}",0.08361869957191592,0.05303331852080023,0.09772642677328153,0.05285607639769978,0.09064987180081531,0.07554910283847224,0.01899762510647035,793,0.056427233374544,0.06793170379234396,0.08367187447097339,0.12400323292488699,0.11007745512917837,0.08842229993838534,0.02530242634805402
5,0.25574822425842286,0.06276527223839318,0.0011995315551757812,0.0015994548904225156,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 7}",0.13021204787579876,0.03767756576648108,0.045115611576038724,0.1294403372887739,0.11479196273010046,0.09137321150763086,0.04135261000972115,244,0.10896921029778985,0.04573433156201529,0.09007764570912444,0.12254014408901809,0.12409488783416057,0.09828324389842165,0.028974292318515286
6,0.2521493434906006,0.027878441083473468,0.002400112152099609,0.0019596834414491345,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 8}",0.09579803206756204,0.09908547626346845,0.08311832846327258,0.07250510396239168,0.14755800734760094,0.09953345728311973,0.025643975599037323,51,0.0761070804398439,0.04216934822378756,0.08691053191985025,0.10517838532025436,0.05049080699201525,0.07217123057915027,0.023205016242285624
7,0.22750730514526368,0.02574610489487569,0.0,0.0,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 9}",0.05594698457413263,0.07313162147643615,0.0897029336762587,0.09828218301267871,0.09110973935445281,0.08150781683182125,0.015296874028442011,658,0.06724037960985836,0.07541929857271341,0.09257595794244546,0.0942123636740109,0.08631134295375112,0.08315186855055585,0.01033536076311721
8,0.2835059642791748,0.04768832831042116,0.0,0.0,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 10}",0.08558269239361903,0.08814957108165494,0.09325087321612326,0.08596740369266345,0.1010935767947573,0.090772889008357,0.005805950155555938,265,0.08753742310967844,0.08881245749919593,0.10604905680260225,0.08936577074833348,0.09144897088546891,0.0926427358090558,0.006820971587294472
9,0.24940943717956543,0.02654221119869355,0.0023999691009521486,0.0014963888617522088,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 15}",0.07040730834621657,0.0840302039820999,0.04834833524476308,0.04761904761904777,0.05097957027395655,0.06038369383553522,0.014553838020333769,966,0.05706301989062582,0.07560901838885187,0.04775860681774497,0.04761904761904734,0.0702211578361092,0.059654170110475836,0.011482866123721618
10,0.3225377559661865,0.029777057281778044,0.0020001888275146484,0.0017890979969101774,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'km__n_clusters': 20}",0.07974524790823344,0.08390720693235372,0.08311184912131792,0.07685105502220393,0.09188151309531015,0.08308003716299227,0.005040708578144269,616,0.08345723716826295,0.09036834032573432,0.09075176401755174,0.08273165739974282,0.08549505603395288,0.08656081098904893,0.0033909228311099163
