,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.19198923110961913,0.0192656894902088,0.0016001224517822265,0.001959742092731406,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 2}",0.3333333333333328,0.3909960791635549,0.3312883435582827,0.39428494394123526,0.3323124042879025,0.3564331173621754,0.029575279886546846,784,0.3333333333333318,0.36331708934199297,0.36230619096510513,0.45655092753155635,0.3333333333333264,0.3697681749010625,0.04535094094593424
1,0.06399574279785156,0.015999400626204124,0.0008002758026123047,0.0016005516052246093,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 3}",0.6907727715643134,0.6609711167674035,0.5486489543957778,0.3866353176775142,0.5009006878114542,0.5578996570380007,0.11043974071681557,612,0.5967532360167981,0.5674469030367284,0.5781431215163378,0.37411968761105163,0.5959722436574483,0.5424870383676728,0.08490866069228574
2,0.03999800682067871,0.008000278480005571,0.0015993595123291015,0.00195880736168739,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 4}",0.3333333333333328,0.3333333333333332,0.3333333333333338,0.3333333333333338,0.3333333333333338,0.3333333333333334,4.186378662294689e-16,837,0.3333333333333318,0.3333333333333307,0.3333333333333264,0.3333333333333264,0.3333333333333264,0.3333333333333283,2.418783361085025e-15
3,0.2450965404510498,0.01710410640637903,0.0015999317169189454,0.001959508177927279,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 5}",0.3312977099236636,0.33128834355828213,0.32819722650231176,0.4477886793373886,0.3333333333333338,0.3543222644629252,0.04668759634963518,798,0.32897268180069117,0.3586956872030363,0.344381293912339,0.42229246911873747,0.3330786860198556,0.35748416361093194,0.03400529775787828
4,0.22238678932189943,0.014879953402930303,0.001599884033203125,0.0019594499095362547,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 6}",0.6764531927056394,0.6489693264754087,0.771938323606622,0.593093330118154,0.7402236711016631,0.6860875798418049,0.06383449965868397,479,0.7725824019336522,0.7447679048774912,0.7334204583943971,0.6791705598669296,0.7392093592420989,0.7338301368629139,0.03045700590828225
5,0.12510433197021484,0.030419430593964847,0.0007998943328857422,0.0015997886657714844,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 7}",0.6609802788153734,0.568191888858199,0.7423583077965703,0.7153488372093024,0.8496905393457119,0.7071172051548394,0.09279657804603905,440,0.652906907035478,0.6313182560884822,0.6029214201711639,0.6847911497282362,0.77323197639421,0.6690339418835141,0.05858146418467068
6,0.09373016357421875,0.03174010358225895,0.0,0.0,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 8}",0.6001148402285318,0.7248689067464862,0.9087975082508932,0.9341179834048188,0.8228875107132146,0.7977589004100429,0.1233626595053189,361,0.493495548694011,0.8740150259800938,0.8751710458686845,0.9202323665569072,0.8479297493162086,0.8021687472831811,0.15607911736789698
7,0.16830897331237793,0.02370695066359837,0.0020001411437988283,0.003033496289149727,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 9}",0.6969374862116682,0.7489963257336338,0.6658574158735955,0.817857142857143,0.9409722222222223,0.7739717407718579,0.09797190328169837,382,0.7289410180144787,0.7637162397097021,0.8244128625271425,0.850246633943689,0.9714052287581703,0.8277443965906366,0.08368703244327728
8,0.20242009162902833,0.014414125549876694,0.0029994964599609373,0.0017885381406490017,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 10}",0.9442724458204335,0.9160839160839165,0.7828224076859801,0.9705627705627704,0.8407389718120596,0.8910081062135291,0.06926980320796132,226,0.9776774748379677,0.9327934088739852,0.919802328802999,0.9426699426699424,0.853606402753315,0.9253099115876419,0.04067299285490094
9,0.10227012634277344,0.023158305385192788,0.0005997180938720703,0.0007999423576867245,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 11}",0.32407407407407357,0.4957983193277311,0.7153488372093024,0.5521783181357652,0.817857142857143,0.5805426731701353,0.17231624571154505,585,0.3421203946734599,0.5829303675048338,0.7666147906784677,0.7059443175389397,0.7813924797744246,0.6358004700340252,0.16264858655023276
10,0.1988527297973633,0.01573598033651073,0.0017999649047851563,0.0018330118875145138,0.1,"(10,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 12}",0.9699195655685865,0.8978868175710937,0.9682713241695504,0.9862359254972114,0.9931189402747161,0.963042767931053,0.033959299597969145,34,0.9959861738682428,0.9503924632342475,0.9959907717551151,0.9965635333018423,0.9811306074080086,0.9840127099134914,0.017793192371850466
