,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.20381312370300292,0.05827598655990992,0.0016003131866455078,0.001959975404217052,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 2}",0.12878934246046175,0.09994493191396489,0.1144506848206581,0.09883696967412116,0.1195916705948825,0.11231940825956362,0.011532195142092387,688,0.12874679265041253,0.10202983775739707,0.1162659639554953,0.11177208695778353,0.1281833028535318,0.11739959683492404,0.010141308134502721
1,0.2655651569366455,0.08449880423524983,0.0017999649047851563,0.0004000199567215722,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 3}",0.14200073391688517,0.10508853882604034,0.09190869190072488,0.10785563728953092,0.16065710773638026,0.12142410327672301,0.025588256716087977,586,0.16246326435728328,0.09845819880077468,0.09221903579266474,0.10941604758589871,0.12805519904320836,0.11812234911596597,0.02529125701577843
2,0.17229852676391602,0.01986880242378104,0.0021999835968017577,0.0011662040176105544,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 4}",0.15382125961218462,0.2197593439604149,0.14638936129001162,0.15376485968995146,0.1205103694639636,0.15898674045674607,0.03283865214695741,145,0.14538820417131804,0.13834753250403473,0.1319142958825163,0.15796706219871304,0.1429413215136639,0.14331168325404922,0.008646068129686919
3,0.23133406639099122,0.0165742373394948,0.003515195846557617,0.0026299953931867774,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 5}",0.12721740832368358,0.14683353460073872,0.12675389847305346,0.11263541485130708,0.11369065901170176,0.12548189190745077,0.012371760097402776,548,0.1316938133330999,0.12592873200398835,0.12207533259152127,0.11619938406438785,0.12641645977927196,0.12446274435445388,0.005142710190802622
4,0.29139318466186526,0.04154140731061546,0.0015995025634765625,0.0014967717071836875,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 6}",0.11408827551194316,0.17153751670419895,0.14018093318135555,0.12721590158697438,0.12090351317633594,0.1348362998687535,0.02032676753603422,436,0.10798847283865243,0.13055826430890455,0.14995226623469232,0.16077329278844074,0.1495705689312158,0.13976857302038118,0.018632173990038605
5,0.21238327026367188,0.04123669785762407,0.0029590606689453127,0.0008970024505053019,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 7}",0.1077803219757472,0.15335625199292313,0.13498536605540204,0.1566261976309909,0.1164916806892622,0.13386575025854242,0.019406195599791634,446,0.1367057236746593,0.14206547960567248,0.16134733471469567,0.12886553138792972,0.1299353770059873,0.1397838892777889,0.011797174831237472
6,0.19346413612365723,0.05126663488106401,0.001199960708618164,0.0015999078777257237,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 8}",0.12391543913872638,0.16838345531530083,0.1426391104323533,0.11151059663601055,0.11803774761744194,0.13296962475333562,0.02057757597041789,461,0.14848908115105103,0.13697874320410125,0.15412509671960825,0.14247188860265714,0.14263799586081985,0.1449405611076475,0.00586062085256904
7,0.20503010749816894,0.0655710023663628,0.0048007011413574215,0.0039200484138142856,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 9}",0.17411157593875487,0.14606855604765917,0.18123036497744618,0.13955698181054652,0.08343755508676848,0.1450532074752554,0.034493167481027244,302,0.16504928805817012,0.16975155609834136,0.1624659037380526,0.15123929026253333,0.09209779325408823,0.1481207662822371,0.02866547604677563
8,0.23953452110290527,0.0426457758010443,0.003198051452636719,0.0015990268141107549,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 10}",0.1694762223246119,0.1779097822657449,0.16462759862700055,0.1702355774626701,0.1755181163094584,0.17154853216549895,0.004696733526729705,38,0.16964802428707407,0.17490399275827762,0.18156443811646744,0.17315659267361197,0.17419507940203768,0.17469362544749376,0.003881273762955426
9,0.17364511489868165,0.043295341185326845,0.0015991687774658202,0.0019585738762334143,0.1,"(10,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'pca__n_components': 11}",0.14769918879623004,0.16201983216891794,0.15811288940006768,0.14255011014367364,0.17501023116201472,0.15704425246094433,0.011339527253397236,169,0.14789532207535594,0.16265060966924405,0.17231764201027006,0.19674312698113597,0.16300663226763354,0.16852266660072793,0.016131901636075436
10,0.18276190757751465,0.036037588576335156,0.0020009994506835936,0.002530581956971522,0.1,"(20,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'pca__n_components': 2}",0.16251931562291877,0.11966881817250696,0.10450749408812172,0.12148841523114787,0.1315466341274302,0.12796331235537253,0.019367009280474707,514,0.14748703829267773,0.12508064097433247,0.12243959133698078,0.14270095153428425,0.1499429518879478,0.1375302348052446,0.011512338592966258
